data;1 THB;1 USD;1 AUD;1 HKD;1 CAD;1 NZD;1 SGD;1 EUR;100 HUF;1 CHF;1 GBP;1 UAH;100 JPY;1 CZK;1 DKK;1 EEK;100 ISK;1 NOK;1 SEK;1 HRK;1 RON;1 BGN;1 TRY;1 LTL;1 LVL;1 PHP;1 MXN;1 ZAR;1 BRL;1 MYR;1 RUB;10000 IDR;100 KRW;1 CNY;1 XDR;;Nr tabeli; (source: https://www.nbp.pl/kursy/Archiwum/archiwum_tab_a_2010.xls, 2020.02.22)
4.01.2010;0,0856;2,8465;2,5738;0,3665;2,7336;2,0674;2,0318;4,0924;1,5189;2,7510;4,6070;0,3548;3,0639;0,1554;0,5499;0,2616;2,2751;0,4951;0,4017;0,5611;0,9692;2,0924;1,9097;1,1852;5,7696;0,0618;0,2200;0,3872;1,6313;0,8365;0,0945;3,0258;0,2462;0,4165;4,4534;;1;/A/NBP/2010
5.01.2010;0,0853;2,8264;2,5874;0,3645;2,7234;2,0808;2,0254;4,0794;1,5213;2,7483;4,5377;0,3537;3,0766;0,1554;0,5482;0,2607;2,2689;0,4962;0,3999;0,5576;0,9711;2,0858;1,9158;1,1815;5,7513;0,0616;0,2196;0,3868;1,6422;0,8345;0,0945;3,0296;0,2479;0,4140;4,4425;;2;/A/NBP/2010
6.01.2010;0,0860;2,8493;2,6039;0,3672;2,7441;2,0897;2,0410;4,0950;1,5209;2,7575;4,5629;0,3580;3,0843;0,1558;0,5503;0,2617;2,2750;0,4993;0,4014;0,5604;0,9838;2,0938;1,9321;1,1860;5,7733;0,0619;0,2225;0,3883;1,6451;0,8423;0,0954;3,0605;0,2506;0,4170;4,4448;;3;/A/NBP/2010
7.01.2010;0,0864;2,8631;2,6315;0,3693;2,7728;2,1057;2,0512;4,1109;1,5269;2,7744;4,5644;0,3594;3,0838;0,1565;0,5524;0,2627;2,2770;0,5024;0,4025;0,5637;0,9858;2,1018;1,9387;1,1906;5,7957;0,0625;0,2247;0,3887;1,6555;0,8500;0,0959;3,0938;0,2524;0,4196;4,4794;;4;/A/NBP/2010
8.01.2010;0,0865;2,8683;2,6283;0,3699;2,7759;2,1001;2,0521;4,1084;1,5265;2,7726;4,5976;0,3592;3,0815;0,1562;0,5521;0,2626;2,2780;0,5024;0,4021;0,5633;0,9859;2,1007;1,9514;1,1898;5,7922;0,0626;0,2248;0,3860;1,6437;0,8494;0,0961;3,1042;0,2538;0,4202;4,4844;;5;/A/NBP/2010
11.01.2010;0,0846;2,7983;2,6042;0,3605;2,7176;2,0689;2,0146;4,0595;1,5194;2,7496;4,5128;0,3549;3,0233;0,1548;0,5456;0,2595;2,2490;0,4973;0,3978;0,5572;0,9808;2,0756;1,9158;1,1757;5,7232;0,0614;0,2213;0,3810;1,6193;0,8381;0,0951;3,0836;0,2497;0,4096;4,4379;;6;/A/NBP/2010
12.01.2010;0,0853;2,8167;2,6118;0,3632;2,7249;2,0907;2,0259;4,0814;1,5249;2,7640;4,5455;0,3493;3,0684;0,1556;0,5485;0,2609;2,2610;0,4992;0,3988;0,5610;0,9862;2,0868;1,9366;1,1820;5,7549;0,0617;0,2207;0,3796;1,6215;0,8423;0,0958;3,0699;0,2507;0,4126;4,4191;;7;/A/NBP/2010
13.01.2010;0,0848;2,8009;2,5925;0,3613;2,7042;2,0782;2,0173;4,0615;1,5207;2,7482;4,5487;0,3423;3,0635;0,1552;0,5459;0,2596;2,2553;0,4964;0,3973;0,5571;0,9848;2,0766;1,9300;1,1763;5,7285;0,0611;0,2192;0,3778;1,6052;0,8366;0,0946;3,0561;0,2489;0,4103;4,4092;;8;/A/NBP/2010
14.01.2010;0,0850;2,7930;2,5966;0,3602;2,7127;2,0755;2,0139;4,0534;1,5176;2,7380;4,5493;0,3469;3,0418;0,1560;0,5448;0,2591;2,2457;0,4965;0,3983;0,5556;0,9828;2,0725;1,9206;1,1739;5,7195;0,0611;0,2196;0,3762;1,5894;0,8376;0,0950;3,0454;0,2493;0,4093;4,3893;;9;/A/NBP/2010
15.01.2010;0,0852;2,7973;2,5938;0,3607;2,7271;2,0666;2,0149;4,0339;1,5135;2,7314;4,5638;0,3470;3,0831;0,1561;0,5420;0,2578;2,2411;0,4951;0,3981;0,5538;0,9812;2,0625;1,9191;1,1683;5,6936;0,0611;0,2206;0,3783;1,5915;0,8380;0,0948;3,0399;0,2492;0,4099;4,3818;;10;/A/NBP/2010
