1987;Arabia Saudyjska;Australia;Austria;Belgia;Dania;Finlandia;Francja;Grecja;Hiszpania;Holandia;Indie;Iran;Irlandia;Japonia;Jugosławia;Kanada;Kuwejt ;Liban;Libia;Luksemburg;Norwegia;Portugalia;RFN;USA;Szwajcaria;Szwecja;Turcja;W.Brytania;Włochy;;; (source: https://www.nbp.pl/kursy/Archiwum/archiwum_tab_a_1987.xls, 2020.02.22)
16.03.1987;64,26;164,72;18,43;625,82;34,47;52,99;38,92;177,49;185,03;114,75;18,60;332,60;346,36;156,67;46,35;180,46;867,96;2,10;793,92;625,82;34,45;169,74;131,00;241,03;153,62;37,21;31,10;381,99;18,23;269,16;304,07;10/87
23.03.1987;64,11;165,25;18,65;632,91;34,82;53,41;39,38;178,70;186,98;116,02;18,62;329,44;349,02;158,81;44,97;183,08;870,54;2,35;789,11;632,91;34,61;170,53;130,68;240,44;156,59;37,48;30,96;382,87;18,44;272,12;304,24;11/87
30.03.1987;63,77;166,29;18,80;637,40;35,10;53,83;39,64;180,13;187,91;116,84;18,70;327,63;352,84;160,91;43,80;183,16;871,43;2,18;791,27;637,40;34,93;172,34;132,11;239,12;158,10;37,76;30,77;387,74;18,56;274,10;305,12;12/87
6.04.1987;64,96;171,90;19,25;652,90;35,81;55,04;40,57;183,82;191,67;119,75;18,90;336,09;360,73;167,28;45,02;185,62;891,53;2,22;810,80;652,90;35,79;175,10;135,31;243,57;162,00;38,61;31,31;391,02;18,96;279,99;313,15;13/87
13.04.1987;65,07;172,86;19,07;647,07;35,54;54,93;40,29;182,60;191,22;118,71;18,99;336,75;358,25;168,13;44,75;186,69;894,26;2,23;815,65;647,07;35,82;173,82;134,83;244,04;161,19;38,52;31,04;395,21;18,80;278,37;312,92;14/87
21.04.1987;64,91;175,89;19,19;652,05;35,75;55,25;40,55;183,68;191,72;119,58;18,95;336,76;360,34;172,12;43,54;185,93;898,73;2,22;810,17;652,05;35,98;173,72;135,21;243,38;163,07;38,65;30,88;396,12;18,93;280,16;314,56;15/87
27.04.1987;66,48;176,43;19,62;665,60;36,60;56,69;41,46;187,80;196,57;122,27;19,48;344,96;368,57;175,44;42,40;188,52;919,25;2,28;829,90;665,60;36,96;178,76;138,50;249,30;167,94;39,60;31,37;408,22;19,35;286,59;322,14;16/87
4.05.1987;66,30;176,23;19,72;667,56;36,83;57,01;41,50;187,89;197,20;122,83;19,60;343,47;370,70;178,19;42,80;185,85;919,28;2,27;843,22;667,56;37,32;178,90;138,92;248,67;169,68;39,80;31,39;412,04;19,38;287,67;326,12;17/87
11.05.1987;65,97;175,22;19,90;673,86;37,18;57,29;41,83;188,09;199,27;124,04;19,63;341,64;373,68;178,58;42,64;183,76;914,38;2,26;837,30;673,86;37,41;180,01;140,53;247,34;170,73;39,91;31,04;416,12;19,53;290,47;324,34;18/87
18.05.1987;66,23;177,78;19,75;669,06;36,94;57,09;41,57;186,27;198,12;123,22;19,57;343,09;371,17;177,99;42,08;185,85;912,18;2,27;847,74;669,06;37,31;179,08;139,54;248,39;169,11;39,73;30,84;413,22;19,20;288,19;323,55;19/87
25.05.1987;67,73;182,83;20,29;688,09;37,93;58,54;42,67;191,34;203,49;126,47;20,14;318,16;381,56;181,50;42,70;189,42;931,45;2,32;865,44;688,09;38,41;183,33;142,70;254,01;173,68;40,74;31,46;426,33;19,66;296,01;332,86;20/87
1.06.1987;67,83;182,83;20,21;684,98;37,80;58,43;42,49;190,61;203,10;126,14;20,02;318,74;380,60;178,83;42,78;189,34;920,65;2,32;869,68;684,98;38,25;182,35;142,96;254,47;172,87;40,62;31,31;422,14;19,65;294,59;332,99;21/87
8.06.1987;68,43;183,43;20,04;679,51;37,33;58,08;42,16;188,37;202,14;124,92;20,04;361,51;376,32;177,25;43,15;191,43;917,60;2,34;860,09;679,51;37,93;180,42;141,80;256,65;170,08;40,40;31,11;419,09;19,48;292,11;328,24;22/87
15.06.1987;68,10;182,56;20,21;685,00;37,74;58,25;42,45;189,68;203,78;126,03;19,99;359,75;379,89;178,73;40,41;190,29;910,53;2,33;860,52;685,00;38,09;181,72;141,89;255,40;170,87;40,62;30,98;419,86;19,59;294,28;330,66;23/87
22.06.1987;68,34;184,07;20,02;678,66;37,40;57,95;42,20;188,11;201,97;124,77;19,91;356,44;376,13;177,92;40,05;191,05;910,79;2,34;865,87;678,66;38,07;181,90;141,60;256,30;169,45;40,41;30,64;418,17;19,44;291,91;329,56;24/87
29.06.1987;70,10;188,43;20,30;687,88;37,93;58,74;42,75;190,87;206,36;126,56;20,33;365,65;387,16;179,47;40,45;197,09;929,70;2,40;879,91;687,88;38,94;183,03;143,67;262,92;171,56;41,00;31,06;419,46;19,75;295,61;336,21;25/87
6.07.1987;69,94;189,04;20,38;691,05;37,77;58,88;42,95;190,83;207,03;127,29;20,33;369,98;383,58;178,55;39,94;196,77;927,80;1,85;877,52;691,05;39,08;182,84;144,12;262,29;172,50;41,03;30,77;421,15;19,77;296,88;335,32;26/87
13.07.1987;70,05;185,85;20,34;689,56;37,71;58,93;42,90;190,59;207,01;126,99;20,38;370,60;383,03;175,88;40,42;198,13;927,36;1,65;876,91;689,56;39,13;183,27;143,56;262,72;171,49;41,03;30,55;425,94;19,75;296,86;334,21;27/87;(z korektą 28/87)
20.07.1987;70,19;185,20;20,34;688,70;37,68;58,91;42,95;189,82;207,58;126,99;20,21;365,35;382,82;174,82;39,11;199,61;928,02;1,65;878,46;688,70;39,06;183,15;143,04;263,19;171,40;40,98;30,42;425,46;19,73;296,72;333,87;29/87
27.07.1987;71,83;190,66;20,58;698,55;38,13;59,83;43,50;191,61;211,22;128,74;20,60;373,97;388,35;176,25;40,03;204,24;947,25;1,60;893,82;698,55;39,66;185,86;146,01;269,40;173,92;41,59;30,95;432,91;20,02;300,97;341,61;30/87
3.08.1987;71,88;189,13;20,64;699,90;38,24;59,85;43,63;192,16;211,89;128,76;20,57;369,25;388,83;178,59;37,31;202,37;947,93;1,60;894,15;699,90;39,43;185,41;145,67;269,50;174,94;41,64;30,78;430,51;20,05;301,22;342,00;31/87
10.08.1987;74,14;194,43;21,09;715,75;39,12;61,20;44,60;196,65;218,65;131,80;21,17;380,84;396,80;183,65;37,50;209,83;974,27;1,66;918,57;715,75;40,65;189,73;148,64;277,96;178,87;42,55;31,50;439,39;20,48;307,89;351,63;32/87
17.08.1987;74,37;195,42;20,97;709,81;38,56;60,98;44,17;195,68;217,08;130,98;21,30;382,06;394,41;184,48;37,07;209,83;976,70;1,66;921,51;709,81;40,44;189,05;148,32;278,85;177,44;42,35;31,34;438,65;20,34;305,75;349,35;33/87
24.08.1987;75,85;201,63;21,75;736,29;39,72;63,22;45,76;202,04;225,27;135,69;21,80;389,75;409,19;191,95;37,47;213,96;1000,58;1,69;927,50;736,29;41,91;195,64;152,94;284,47;184,78;43,85;31,90;454,71;21,14;317,09;358,40;34/87
31.08.1987;75,16;201,62;22,01;743,61;40,27;63,73;46,23;203,61;229,43;137,11;21,54;386,25;413,17;197,27;36,77;213,77;1003,57;1,22;919,15;743,61;42,00;197,27;154,89;281,90;187,50;44,15;31,69;457,41;21,36;320,13;362,86;35/87
7.09.1987;76,91;206,62;22,61;765,31;41,37;65,62;47,58;209,32;236,78;141,19;22,17;390,14;423,44;203,35;36,94;218,44;1027,97;1,24;940,49;765,31;43,34;202,42;159,36;288,45;192,94;45,26;32,15;470,78;21,97;329,32;373,01;36/87
14.09.1987;76,51;208,83;22,76;771,14;41,56;66,02;47,88;210,24;238,57;142,28;22,28;388,16;427,05;202,38;35,73;218,83;1026,39;1,24;966,58;771,14;43,63;203,60;160,32;286,98;193,42;45,50;31,85;476,79;22,14;332,04;372,75;37/87
21.09.1987;78,91;215,77;23,10;782,47;42,18;67,06;48,72;213,31;242,46;144,45;22,71;412,28;434,10;204,61;35,65;224,73;1051,40;1,27;997,53;782,47;44,36;207,12;163,07;295,97;195,75;46,19;32,41;484,08;22,51;337,09;381,16;38/87
28.09.1987;78,77;216,53;23,13;784,15;42,32;67,38;48,85;213,18;243,44;144,64;22,75;412,02;437,22;205,26;35,07;224,59;1051,86;1,27;994,56;784,15;44,48;206,99;162,97;295,78;195,88;46,29;32,26;486,72;22,54;338,19;382,44;39/87
5.10.1987;79,20;213,47;22,95;778,56;41,98;67,27;48,49;211,40;243,56;143,52;22,64;417,70;432,66;203,51;33,86;226,65;1052,52;1,28;994,05;778,56;44,23;205,27;162,31;297,02;194,32;46,09;31,96;483,43;22,39;335,01;382,22;40/87
12.10.1987;79,17;213,24;22,98;778,46;42,03;67,31;48,55;211,05;243,65;143,76;22,74;417,59;433,43;202,55;34,19;227,19;1050,75;1,28;987,83;778,46;44,22;205,43;162,26;296,94;194,21;46,14;31,56;484,33;22,42;335,98;378,95;41/87
19.10.1987;78,99;214,35;23,11;781,97;42,46;67,54;48,83;212,21;245,13;144,48;22,67;416,62;436,88;205,84;33,69;227,01;1052,77;1,06;996,46;781,97;44,52;206,01;162,33;296,25;196,06;46,34;31,40;487,33;22,53;337,68;382,45;42/87
26.10.1987;79,99;214,65;23,77;803,75;43,51;69,17;50,10;218,18;256,19;148,85;23,04;417,65;448,10;210,42;33,79;230,15;1072,19;7,500;1006,37;803,75;45,63;211,79;166,67;300,00;201,55;47,43;31,79;500,92;23,15;347,26;392,21;43/87
2.11.1987;81,06;213,26;24,36;822,29;44,38;70,66;51,17;222,38;263,95;152,27;23,35;423,22;458,31;214,24;33,46;230,65;1090,00;6,468;1024,95;822,29;46,31;216,29;171,75;304,00;207,68;48,39;31,92;513,08;23,71;355,39;398,01;44/87
9.11.1987;82,14;206,21;25,60;861,54;46,65;73,30;53,03;230,37;269,23;160,29;23,66;428,93;478,63;225,72;33,90;234,04;1114,73;5,600;1047,62;861,54;47,49;222,46;181,18;308,00;218,08;50,20;32,54;536,59;24,40;371,40;409,68;45/87
16.11.1987;83,23;212,68;26,69;897,84;48,71;76,32;55,37;239,08;279,32;167,11;24,22;434,50;499,84;233,71;32,98;236,72;1131,25;5,887;1085,59;897,84;49,25;231,97;189,09;312,00;228,49;51,96;32,97;558,64;25,46;387,43;422,25;46/87
23.11.1987;84,28;219,51;26,44;890,02;48,34;75,99;55,08;237,95;276,30;165,27;24,14;449,86;495,45;233,81;24,35;240,03;1133,43;6,320;1099,51;890,02;49,26;230,02;186,98;316,00;226,93;51,78;32,75;554,48;25,38;384,33;421,56;47/87
30.11.1987;85,30;220,01;27,16;912,33;49,63;77,82;56,23;243,07;282,06;169,54;24,60;455,58;507,53;236,69;24,95;243,90;1150,67;6,531;1127,55;912,33;49,57;235,64;190,48;320,00;232,47;52,85;33,18;569,19;25,92;393,46;434,07;48/87
7.12.1987;84,75;223,43;27,28;918,77;49,77;78,03;56,57;245,03;284,90;170,77;24,58;474,42;509,79;238,41;24,45;242,51;1149,80;6,112;1122,98;918,77;49,33;235,76;192,61;317,80;234,54;53,01;32,90;575,00;26,08;396,46;436,60;49/87
14.12.1987;84,98;222,80;27,16;914,46;49,58;77,79;56,34;242,41;282,86;169,84;24,44;475,68;508,53;240,03;24,51;243,33;1153,67;6,536;1125,95;914,46;49,23;235,34;191,95;318,64;233,73;52,82;32,41;572,28;25,93;394,41;433,12;50/87
21.12.1987;84,20;225,31;27,58;926,99;50,34;78,57;57,28;244,32;286,42;172,50;24,52;464,24;516,65;246,70;24,92;241,70;1155,43;6,592;1137,53;926,99;49,69;237,79;193,73;315,78;238,59;53,32;32,09;579,62;26,34;400,33;438,40;51/87
28.12.1987;84,15;225,14;27,53;926,55;50,37;78,34;57,33;243,94;285,94;172,24;24,40;463,89;515,25;248,94;25,08;241,42;1156,24;6,699;1136,66;926,55;49,55;237,78;194,18;315,54;238,56;53,26;31,61;578,44;26,33;400,12;438,86;52/87
