1987;Arabia Saudyjska;Australia;Austria;Belgia;Dania;Finlandia;Francja;Grecja;Hiszpania;Holandia;Indie;Iran;Irlandia;Japonia;Jugosławia;Kanada;Kuwejt ;Liban;Libia;Luksemburg;Norwegia;Portugalia;RFN;USA;Szwajcaria;Szwecja;Turcja;W.Brytania;Włochy;;; (source: https://www.nbp.pl/kursy/Archiwum/archiwum_tab_a_1987.xls, 2020.02.22)
;1 rial;1 dolar;1 szyling;100 franków;1 korona;1 marka;1 frank;100 drachm;100 peset;1 floren;1 rupia;100 riali;1 funt;100 yenów;100 dinarów;1 dolar;1 dinar;1funt;1 dinar;100 franków;1 korona;100 escudo;1 marka;1 dolar;1 frank;1 korona;100 funtów;1 funt;100 lirów;1 ECU;1 SDR;nr tabeli
12.01.1987;52,43;130,71;14,51;490,70;26,97;41,33;30,87;142,95;150,15;90,47;15,06;266,71;276,56;123,77;43,21;143,13;672,66;2,31;624,76;490,70;26,70;135,37;101,84;196,55;121,48;29,11;26,01;289,73;14,66;211,87;241,52;1/87
19.01.1987;52,10;127,37;14,68;498,90;27,15;41,68;30,99;143,72;150,40;91,53;14,99;254,63;278,83;125,08;43,11;142,97;675,38;2,21;630,06;498,90;26,88;136,02;103,34;195,32;123,41;29,22;25,84;291,17;14,57;213,53;240,96;2/87
26.01.1987;51,54;128,57;14,93;506,28;27,63;42,00;31,45;145,57;148,91;93,06;14,80;251,93;279,62;126,45;43,97;142,11;679,73;2,19;630,91;506,28;27,12;137,06;105,89;193,25;125,23;29,39;25,94;293,02;14,76;216,52;242,26;3/87
1.02.1987;64,01;158,97;18,74;635,93;34,72;52,61;39,51;181,34;186,60;116,85;18,42;312,88;349,45;157,69;54,53;177,84;854,70;2,83;783,55;635,93;34,02;170,58;132,60;240,00;156,97;36,84;31,97;366,69;18,53;271,40;303,91;4/87
9.02.1987;63,71;158,76;18,97;644,27;35,25;53,05;39,99;181,48;187,66;118,32;18,36;317,92;353,93;157,00;52,16;179,21;865,02;2,73;788,48;644,27;34,44;171,82;133,80;238,83;158,27;37,07;31,68;365,07;18,73;276,94;301,86;5/87
16.02.1987;64,00;159,80;18,73;636,09;34,87;52,84;39,70;180,77;187,03;117,11;18,39;319,43;350,72;156,94;51,03;179,67;868,18;2,43;792,23;636,09;34,26;171,53;132,58;239,97;156,58;36,88;31,57;365,58;18,52;272,35;300,03;6/87
23.02.1987;63,96;159,01;18,81;640,06;35,05;53,02;39,76;180,32;187,70;117,28;18,41;327,04;352,07;156,60;51,71;179,72;864,87;2,09;786,33;640,06;34,40;170,82;132,50;239,83;156,80;37,03;31,59;366,82;18,61;272,88;301,90;7/87
2.03.1987;64,19;161,15;18,59;631,80;34,70;52,78;39,32;178,04;186,23;115,81;18,47;328,25;348,81;156,46;49,13;180,87;866,19;2,09;790,53;631,80;34,17;169,88;131,54;240,72;154,80;36,96;31,49;371,07;18,43;270,59;303,51;8/87
9.03.1987;64,11;162,71;18,63;632,36;34,82;53,12;39,39;178,78;186,62;116,13;18,48;331,80;349,14;156,55;47,40;180,41;867,44;2,09;789,67;632,36;34,44;170,11;131,40;240,45;155,89;37,25;31,34;376,06;18,43;271,12;304,22;9/87
