;1 THB;1 USD;1 AUD;1 HKD;1 CAD;1 NZD;1 SGD;1 EUR;100 HUF;1 CHF;1 GBP;1 UAH;100 JPY;1 CZK;1 DKK;100 ISK;1 NOK;1 SEK;1 HRK;1 RON;1 BGN;1 TRY;1 LTL;1 LVL;1 ILS;100 CLP;1 PHP;1 MXN;1 ZAR;1 BRL;1 MYR;1 RUB;10000 IDR;100 INR;100 KRW;1 CNY;1 XDR;;Nr tabeli;
data;bat (Tajlandia);dolar amerykański;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Węgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duńska;korona islandzka;korona norweska;korona szwedzka;kuna chorwacka;lej rumuński;lew bułgarski;lira turecka;lit litewski;łat łotewski;n. izraelski szekel;peso chilijskie;peso filipińskie;peso meksykańskie;rand (RPA);real brazylijski;ringgit malezyjski;rubel rosyjski;rupia (Indonezja);rupia indyjska;won (Korea Płd.);yuan renminbi(Chiny);SDR (MFW);;;
4.11.2011;0,1024;3,1385;3,2626;0,4041;3,0980;2,4923;2,4774;4,3464;1,4304;3,5574;5,0259;0,3912;4,0230;0,1738;0,5840;2,7452;0,5615;0,4785;0,5800;0,9989;2,2223;1,7907;1,2588;6,1835;0,8574;0,6352;0,0732;0,2349;0,4012;1,8072;1,0082;0,1029;3,5094;6,3830;0,2826;0,4951;4,9759;;214;/A/NBP/2011
7.11.2011;0,1039;3,1913;3,2845;0,4109;3,1323;2,5299;2,5075;4,3764;1,4256;3,5393;5,1084;0,3980;4,0891;0,1752;0,5880;2,7718;0,5652;0,4818;0,5839;1,0048;2,2377;1,7914;1,2675;6,2298;0,8664;0,6428;0,0744;0,2357;0,4000;1,8215;1,0223;0,1040;3,5534;6,5121;0,2850;0,5027;5,0148;;215;/A/NBP/2011
8.11.2011;0,1033;3,1681;3,2683;0,4077;3,1187;2,5203;2,4909;4,3619;1,4162;3,5117;5,0924;0,3952;4,0614;0,1731;0,5859;2,7609;0,5642;0,4818;0,5819;1,0016;2,2302;1,7825;1,2633;6,2065;0,8639;0,6334;0,0735;0,2364;0,3991;1,8148;1,0134;0,1042;3,5338;6,4125;0,2834;0,4994;4,9986;;216;/A/NBP/2011
9.11.2011;0,1041;3,1925;3,2707;0,4109;3,1404;2,5141;2,4933;4,3757;1,4092;3,5459;5,1118;0,3985;4,1121;0,1727;0,5877;2,7605;0,5646;0,4832;0,5845;1,0041;2,2373;1,7813;1,2673;6,2270;0,8631;0,6419;0,0742;0,2369;0,4005;1,8429;1,0244;0,1053;3,5737;6,3924;0,2853;0,5036;4,9996;;217;/A/NBP/2011
10.11.2011;0,1047;3,2213;3,2648;0,4139;3,1499;2,5090;2,4936;4,3807;1,4177;3,5519;5,1287;0,4011;4,1423;0,1720;0,5886;2,7656;0,5655;0,4839;0,5850;1,0058;2,2399;1,8032;1,2687;6,2479;0,8650;0,6442;0,0743;0,2374;0,4027;1,8099;1,0220;0,1052;3,5808;6,4434;0,2842;0,5075;5,0442;;218;/A/NBP/2011
14.11.2011;0,1045;3,2132;3,2988;0,4132;3,1605;2,5210;2,5003;4,4022;1,3955;3,5583;5,1239;0,4009;4,1818;0,1704;0,5915;2,7716;0,5685;0,4836;0,5888;1,0130;2,2508;1,8063;1,2749;6,2808;0,8646;0,6457;0,0743;0,2383;0,4039;1,8446;1,0250;0,1056;3,5871;6,3937;0,2858;0,5057;5,0625;;219;/A/NBP/2011
15.11.2011;0,1055;3,2526;3,3009;0,4178;3,1806;2,5077;2,5149;4,4064;1,3935;3,5531;5,1615;0,4056;4,2205;0,1711;0,5920;2,7729;0,5656;0,4822;0,5885;1,0115;2,2530;1,8148;1,2762;6,2895;0,8719;0,6472;0,0750;0,2405;0,4021;1,8403;1,0311;0,1059;3,6121;6,4137;0,2880;0,5124;5,0716;;220;/A/NBP/2011
16.11.2011;0,1058;3,2621;3,3166;0,4190;3,1905;2,5160;2,5291;4,4155;1,4096;3,5639;5,1475;0,4070;4,2398;0,1728;0,5933;2,7773;0,5675;0,4838;0,5900;1,0137;2,2576;1,8133;1,2788;6,3047;0,8761;0,6403;0,0751;0,2413;0,3995;1,8440;1,0349;0,1063;3,6105;6,4346;0,2873;0,5140;5,1098;;221;/A/NBP/2011
17.11.2011;0,1070;3,2965;3,3180;0,4235;3,2182;2,5206;2,5477;4,4387;1,4140;3,5773;5,1918;0,4110;4,2826;0,1730;0,5964;2,7947;0,5686;0,4843;0,5921;1,0178;2,2695;1,8242;1,2855;6,3135;0,8842;0,6460;0,0760;0,2417;0,4030;1,8632;1,0444;0,1071;3,6476;6,4835;0,2908;0,5191;5,1419;;222;/A/NBP/2011
18.11.2011;0,1057;3,2718;3,2822;0,4200;3,1885;2,4872;2,5268;4,4283;1,4338;3,5812;5,1820;0,4086;4,2654;0,1737;0,5950;2,7850;0,5659;0,4829;0,5908;1,0152;2,2642;1,8027;1,2825;6,2969;0,8769;0,6416;0,0753;0,2392;0,3996;1,8391;1,0342;0,1060;3,6084;6,3789;0,2872;0,5145;5,1304;;223;/A/NBP/2011
21.11.2011;0,1060;3,2984;3,2689;0,4234;3,1923;2,4773;2,5330;4,4366;1,4516;3,5841;5,1775;0,4111;4,2934;0,1737;0,5961;2,7841;0,5669;0,4842;0,5920;1,0163;2,2684;1,7909;1,2849;6,3087;0,8840;0,6457;0,0762;0,2375;0,3987;1,8466;1,0356;0,1061;3,6285;6,3423;0,2883;0,5184;5,1282;;224;/A/NBP/2011
22.11.2011;0,1054;3,2880;3,2379;0,4220;3,1618;2,4584;2,5248;4,4447;1,4554;3,5985;5,1375;0,4100;4,2735;0,1743;0,5972;2,7838;0,5683;0,4831;0,5935;1,0197;2,2726;1,7839;1,2872;6,3023;0,8807;0,6337;0,0760;0,2346;0,3953;1,8190;1,0346;0,1059;3,6085;6,2539;0,2872;0,5168;5,1523;;225;/A/NBP/2011
23.11.2011;0,1062;3,3191;3,2374;0,4259;3,1856;2,4687;2,5455;4,4637;1,4529;3,6233;5,1735;0,4142;4,3086;0,1744;0,5999;2,7948;0,5719;0,4835;0,5955;1,0234;2,2823;1,7874;1,2927;6,3495;0,8832;0,6403;0,0764;0,2367;0,3932;1,8262;1,0440;0,1064;3,6279;6,3662;0,2878;0,5220;5,1592;;226;/A/NBP/2011
24.11.2011;0,1072;3,3486;3,2743;0,4295;3,2064;2,4935;2,5650;4,4855;1,4492;3,6460;5,2096;0,4176;4,3416;0,1748;0,6032;2,8128;0,5737;0,4861;0,5985;1,0307;2,2934;1,8007;1,2991;6,4147;0,8876;0,6382;0,0767;0,2383;0,3935;1,7932;1,0517;0,1067;3,6497;6,4307;0,2907;0,5263;5,2143;;227;/A/NBP/2011
25.11.2011;0,1085;3,4001;3,2979;0,4362;3,2352;2,5196;2,5887;4,5130;1,4269;3,6739;5,2614;0,4237;4,3937;0,1745;0,6069;2,8250;0,5755;0,4871;0,6023;1,0344;2,3075;1,8062;1,3070;6,4601;0,8957;0,6505;0,0774;0,2384;0,3982;1,7941;1,0642;0,1076;3,6721;6,4986;0,2919;0,5329;5,2463;;228;/A/NBP/2011
28.11.2011;0,1078;3,3705;3,3470;0,4323;3,2566;2,5486;2,5936;4,5071;1,4586;3,6654;5,2402;0,4200;4,3329;0,1748;0,6060;2,8211;0,5759;0,4878;0,6011;1,0343;2,3045;1,8057;1,3053;6,4641;0,8901;0,6390;0,0769;0,2406;0,4040;1,7803;1,0539;0,1077;3,6530;6,4891;0,2925;0,5275;5,2394;;229;/A/NBP/2011
29.11.2011;0,1086;3,3924;3,3868;0,4354;3,2839;2,5711;2,6129;4,5282;1,4638;3,6789;5,2804;0,4231;4,3538;0,1772;0,6088;2,8354;0,5772;0,4908;0,6040;1,0413;2,3153;1,8267;1,3114;6,4897;0,8965;0,6478;0,0778;0,2427;0,4058;1,8294;1,0669;0,1083;3,6939;6,5109;0,2958;0,5321;5,2719;;230;/A/NBP/2011
30.11.2011;0,1101;3,4248;3,4152;0,4400;3,3143;2,6005;2,6413;4,5494;1,4603;3,7112;5,3234;0,4267;4,3909;0,1779;0,6118;2,8534;0,5834;0,4948;0,6063;1,0442;2,3261;1,8449;1,3176;6,5196;0,9025;0,6531;0,0785;0,2477;0,4065;1,8552;1,0779;0,1091;3,7263;6,5476;0,2993;0,5373;5,3030;;231;/A/NBP/2011
1.12.2011;0,1082;3,3400;3,4124;0,4295;3,2783;2,5994;2,6023;4,5083;1,4859;3,6741;5,2498;0,4164;4,2965;0,1779;0,6065;2,8206;0,5789;0,4942;0,6009;1,0363;2,3051;1,8239;1,3057;6,4630;0,8884;0,6476;0,0772;0,2455;0,4105;1,8468;1,0635;0,1086;3,6870;6,4888;0,2968;0,5244;5,2130;;232;/A/NBP/2011
2.12.2011;0,1081;3,3235;3,4113;0,4277;3,2839;2,5967;2,5898;4,4812;1,4725;3,6275;5,2165;0,4144;4,2696;0,1771;0,6029;2,8050;0,5745;0,4927;0,5967;1,0294;2,2912;1,8215;1,2978;6,4214;0,8910;0,6450;0,0768;0,2452;0,4126;1,8472;1,0622;0,1079;3,6905;6,4895;0,2937;0,5226;5,1826;;233;/A/NBP/2011
5.12.2011;0,1082;3,3276;3,4139;0,4281;3,2755;2,6045;2,5948;4,4773;1,4856;3,6155;5,2059;0,4153;4,2696;0,1777;0,6022;2,8049;0,5777;0,4946;0,5960;1,0284;2,2892;1,8183;1,2967;6,4200;0,8934;0,6462;0,0769;0,2465;0,4175;1,8574;1,0614;0,1078;3,7064;6,4877;0,2951;0,5228;5,1707;;234;/A/NBP/2011
6.12.2011;0,1083;3,3429;3,4107;0,4301;3,2870;2,5950;2,5983;4,4711;1,4886;3,6089;5,2257;0,4172;4,3031;0,1771;0,6014;2,8059;0,5784;0,4932;0,5955;1,0271;2,2861;1,8164;1,2949;6,4079;0,8952;0,6511;0,0769;0,2471;0,4127;1,8723;1,0661;0,1074;3,6822;6,5209;0,2955;0,5253;5,1791;;235;/A/NBP/2011
7.12.2011;0,1082;3,3310;3,4214;0,4286;3,2980;2,6003;2,5970;4,4690;1,4892;3,6010;5,2007;0,4157;4,2883;0,1770;0,6011;2,8054;0,5798;0,4951;0,5952;1,0271;2,2850;1,8187;1,2943;6,4040;0,8884;0,6498;0,0770;0,2470;0,4152;1,8604;1,0670;0,1068;3,6926;6,4715;0,2950;0,5234;5,1915;;236;/A/NBP/2011
8.12.2011;0,1085;3,3359;3,4314;0,4289;3,3062;2,6053;2,5885;4,4692;1,4858;3,6107;5,2489;0,4163;4,3087;0,1770;0,6011;2,8082;0,5810;0,4956;0,5962;1,0298;2,2851;1,8234;1,2944;6,4029;0,8918;0,6562;0,0771;0,2472;0,4129;1,8542;1,0651;0,1066;3,6936;6,4442;0,2946;0,5242;5,1937;;237;/A/NBP/2011
9.12.2011;0,1095;3,3875;3,4170;0,4352;3,3064;2,5995;2,6041;4,5195;1,4750;3,6653;5,2959;0,4227;4,3572;0,1767;0,6079;2,8448;0,5863;0,5001;0,6029;1,0414;2,3108;1,8342;1,3089;6,4786;0,8989;0,6663;0,0776;0,2472;0,4109;1,8588;1,0743;0,1074;3,7297;6,4813;0,2953;0,5321;5,2475;;238;/A/NBP/2011
12.12.2011;0,1099;3,4117;3,4467;0,4386;3,3254;2,6155;2,6284;4,5255;1,4832;3,6694;5,3038;0,4257;4,3820;0,1771;0,6086;2,8498;0,5876;0,5004;0,6036;1,0426;2,3139;1,8400;1,3107;6,4858;0,9068;0,6687;0,0782;0,2489;0,4147;1,8975;1,0789;0,1083;3,7316;6,4826;0,2967;0,5363;5,2656;;239;/A/NBP/2011
13.12.2011;0,1110;3,4587;3,4944;0,4446;3,3679;2,6439;2,6526;4,5600;1,4947;3,6917;5,3920;0,4317;4,4434;0,1777;0,6133;2,8741;0,5920;0,5032;0,6084;1,0480;2,3315;1,8514;1,3206;6,5334;0,9136;0,6719;0,0788;0,2504;0,4182;1,8765;1,0874;0,1092;3,8032;6,4919;0,2996;0,5435;5,3316;;240;/A/NBP/2011
14.12.2011;0,1121;3,4977;3,5088;0,4494;3,3820;2,6460;2,6817;4,5642;1,5033;3,7025;5,4284;0,4364;4,4872;0,1779;0,6140;2,8805;0,5903;0,5018;0,6084;1,0518;2,3337;1,8620;1,3219;6,5451;0,9220;0,6787;0,0793;0,2527;0,4210;1,8757;1,0987;0,1101;3,8234;6,5151;0,3022;0,5490;5,3590;;241;/A/NBP/2011
15.12.2011;0,1116;3,5066;3,4659;0,4505;3,3738;2,6236;2,6770;4,5481;1,4981;3,7096;5,4238;0,4368;4,4942;0,1777;0,6120;2,8684;0,5845;0,5000;0,6059;1,0479;2,3254;1,8621;1,3172;6,5276;0,9197;0,6724;0,0795;0,2524;0,4158;1,8653;1,1003;0,1100;3,8511;6,5078;0,3021;0,5501;5,3787;;242;/A/NBP/2011
16.12.2011;0,1105;3,4586;3,4604;0,4446;3,3550;2,6311;2,6590;4,5094;1,5006;3,6842;5,3735;0,4317;4,4425;0,1788;0,6066;2,8313;0,5786;0,4988;0,6001;1,0388;2,3057;1,8425;1,3060;6,4674;0,9120;0,6678;0,0789;0,2502;0,4142;1,8598;1,0886;0,1088;3,8062;6,5448;0,2986;0,5450;5,3226;;243;/A/NBP/2011
19.12.2011;0,1103;3,4470;3,4286;0,4429;3,3274;2,6257;2,6429;4,4910;1,4772;3,6828;5,3410;0,4297;4,4257;0,1778;0,6042;2,8159;0,5786;0,4987;0,5976;1,0411;2,2962;1,8265;1,3007;6,4401;0,9100;0,6657;0,0783;0,2485;0,4117;1,8612;1,0831;0,1076;3,7939;6,5086;0,2934;0,5439;5,2900;;244;/A/NBP/2011
20.12.2011;0,1090;3,4148;3,4114;0,4386;3,3052;2,6035;2,6195;4,4635;1,4755;3,6634;5,3391;0,4263;4,3811;0,1759;0,6005;2,7923;0,5780;0,4967;0,5936;1,0354;2,2822;1,7970;1,2927;6,4071;0,9014;0,6555;0,0778;0,2473;0,4109;1,8266;1,0737;0,1065;3,7595;6,4342;0,2938;0,5377;5,2650;;245;/A/NBP/2011
21.12.2011;0,1083;3,3793;3,4387;0,4343;3,3030;2,6228;2,6162;4,4424;1,4748;3,6391;5,3190;0,4210;4,3440;0,1744;0,5978;2,7739;0,5758;0,4959;0,5909;1,0326;2,2714;1,7989;1,2866;6,3768;0,8978;0,6502;0,0775;0,2466;0,4174;1,8314;1,0685;0,1069;3,7121;6,4289;0,2939;0,5331;5,2385;;246;/A/NBP/2011
22.12.2011;0,1086;3,3933;3,4383;0,4361;3,3149;2,6226;2,6247;4,4438;1,4499;3,6352;5,3325;0,4225;4,3458;0,1735;0,5978;2,7739;0,5734;0,4941;0,5913;1,0337;2,2721;1,7980;1,2870;6,3820;0,9009;0,6489;0,0778;0,2463;0,4147;1,8237;1,0715;0,1079;3,7132;6,4432;0,2935;0,5352;5,2531;;247;/A/NBP/2011
23.12.2011;0,1085;3,3980;3,4489;0,4368;3,3289;2,6306;2,6281;4,4401;1,4485;3,6301;5,3232;0,4233;4,3545;0,1729;0,5974;2,7718;0,5709;0,4952;0,5907;1,0359;2,2702;1,8035;1,2859;6,3740;0,8975;0,6537;0,0781;0,2462;0,4156;1,8305;1,0759;0,1091;3,7210;6,4359;0,2951;0,5361;5,2444;;248;/A/NBP/2011
27.12.2011;0,1076;3,3788;3,4319;0,4343;3,3092;2,6149;2,6042;4,4175;1,4394;3,6139;5,2844;0,4207;4,3379;0,1712;0,5943;2,7611;0,5669;0,4929;0,5876;1,0288;2,2587;1,7855;1,2794;6,3383;0,8939;0,6496;0,0771;0,2451;0,4142;1,8211;1,0650;0,1083;3,7436;6,3821;0,2916;0,5346;5,2161;;249;/A/NBP/2011
28.12.2011;0,1065;3,3608;3,4189;0,4321;3,3007;2,6061;2,5914;4,3914;1,4311;3,5988;5,2652;0,4184;4,3225;0,1704;0,5907;2,7445;0,5631;0,4897;0,5841;1,0236;2,2453;1,7689;1,2718;6,3018;0,8869;0,6438;0,0764;0,2404;0,4138;1,8053;1,0615;0,1060;3,7082;6,2940;0,2905;0,5315;5,1828;;250;/A/NBP/2011
29.12.2011;0,1075;3,4126;3,4396;0,4390;3,3340;2,6237;2,6196;4,4079;1,4212;3,6167;5,2641;0,4239;4,3853;0,1708;0,5929;2,7628;0,5665;0,4932;0,5851;1,0259;2,2538;1,7861;1,2766;6,3074;0,8956;0,6536;0,0778;0,2437;0,4199;1,8208;1,0739;0,1059;3,6979;6,3881;0,2955;0,5400;5,2008;;251;/A/NBP/2011
30.12.2011;0,1084;3,4174;3,4670;0,4398;3,3440;2,6371;2,6312;4,4168;1,4196;3,6333;5,2691;0,4255;4,4082;0,1711;0,5941;2,7805;0,5676;0,4950;0,5861;1,0226;2,2583;1,7835;1,2792;6,3120;0,8949;0,6568;0,0779;0,2440;0,4216;1,8314;1,0779;0,1061;3,7147;6,4100;0,2948;0,5428;5,2444;;252;/A/NBP/2011
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1 THB;1 USD;1 AUD;1 HKD;1 CAD;1 NZD;1 SGD;1 EUR;100 HUF;1 CHF;1 GBP;1 UAH;100 JPY;1 CZK;1 DKK;100 ISK;1 NOK;1 SEK;1 HRK;1 RON;1 BGN;1 TRY;1 LTL;1 LVL;1 ILS;100 CLP;1 PHP;1 MXN;1 ZAR;1 BRL;1 MYR;1 RUB;10000 IDR;100 INR;100 KRW;1 CNY;1 XDR;;Nr tabeli;
data;bat (Tajlandia);dolar amerykański;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Węgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duńska;korona islandzka;korona norweska;korona szwedzka;kuna chorwacka;lej rumuński;lew bułgarski;lira turecka;lit litewski;łat łotewski;n. izraelski szekel;peso chilijskie;peso filipińskie;peso meksykańskie;rand (RPA);real brazylijski;ringgit malezyjski;rubel rosyjski;rupia (Indonezja);rupia indyjska;won (Korea Płd.);yuan renminbi(Chiny);SDR (MFW);;;
