data;1 USD;1 AUD;1 HKD;1 CAD;1 EUR;100 HUF;1 CHF;1 CYP;1 GBP;1 UAH;100 JPY;1 CZK;1 DKK;1 EEK;1 NOK;1 SKK;1 SEK;1 MTL;1 LTL;1 LVL;1 ZAR;1 RUB;100 SIT;1 XDR;;Nr tabeli;
;dolar amerykanski;dolar australijski;dolar hong kong;dolar kanadyjski;euro;forint wegierski;frank szwajcarski;funt cypryjski;funt szterling;hrywna ukrainska;jen japonski;korona czeska;korona dunska;korona estonska;korona norweska;korona slowacka;korona szwedzka;lir maltanski;lit litewski;lat lotewski;rand RPA;rubel rosyjski;tolar slowenski;SDR (MFW);;;
31.12.2004;2,9904;2,3313;0,3846;2,4827;4,0790;1,6590;2,6421;7,0443;5,7699;0,5642;2,9168;0,1341;0,5483;0,2607;0,4950;0,1053;0,4521;9,3867;1,1813;5,8384;0,5302;0,1077;1,7013;4,6410;;256;/A/NBP/2004
3.01.2005;3,0123;2,3449;0,3874;2,5015;4,0778;1,6602;2,6412;7,0234;5,7608;0,5681;2,9310;0,1340;0,5483;0,2606;0,4958;0,1055;0,4530;9,3872;1,1810;5,8547;0,5323;0,1085;1,7007;4,6396;;1;/A/NBP/2005
4.01.2005;3,0406;2,3563;0,3911;2,5095;4,0714;1,6577;2,6315;7,0227;5,7718;0,5745;2,9365;0,1342;0,5476;0,2602;0,4941;0,1056;0,4505;9,3865;1,1792;5,8447;0,5334;0,1096;1,6980;4,6502;;2;/A/NBP/2005
5.01.2005;3,1153;2,3809;0,4005;2,5431;4,1334;1,6796;2,6625;7,1259;5,8489;0,5882;2,9761;0,1359;0,5559;0,2642;0,4980;0,1071;0,4558;9,5349;1,1972;5,9337;0,5310;0,1123;1,7239;4,7517;;3;/A/NBP/2005
6.01.2005;3,1277;2,3725;0,4015;2,5424;4,1232;1,6659;2,6592;7,1047;5,8531;0,5901;2,9826;0,1354;0,5542;0,2635;0,4999;0,1067;0,4566;9,5202;1,1942;5,9152;0,5199;0,1126;1,7196;4,7399;;4;/A/NBP/2005
7.01.2005;3,1037;2,3744;0,3985;2,5200;4,1079;1,6539;2,6555;7,0808;5,8430;0,5854;2,9743;0,1357;0,5522;0,2625;0,4981;0,1063;0,4537;9,4871;1,1898;5,8962;0,5156;0,1117;1,7133;4,7468;;5;/A/NBP/2005
10.01.2005;3,1091;2,3592;0,3989;2,5340;4,0746;1,6437;2,6357;7,0185;5,8329;0,5865;2,9768;0,1345;0,5476;0,2604;0,4948;0,1056;0,4500;9,4276;1,1801;5,8480;0,5165;0,1119;1,6994;4,7102;;6;/A/NBP/2005
11.01.2005;3,0965;2,3584;0,3970;2,5343;4,0686;1,6474;2,6320;7,0082;5,8065;0,5838;2,9716;0,1345;0,5469;0,2600;0,4956;0,1052;0,4504;9,4104;1,1783;5,8390;0,5178;0,1106;1,6968;4,7231;;7;/A/NBP/2005
12.01.2005;3,1079;2,3496;0,3986;2,5459;4,0683;1,6416;2,6261;7,0010;5,8198;0,5847;3,0039;0,1340;0,5469;0,2600;0,4959;0,1052;0,4495;9,4119;1,1782;5,8411;0,5110;0,1115;1,6967;4,7200;;8;/A/NBP/2005
