KURS ŚREDNI;1 USD;1 EUR;1 AUD;1 ATS;100 BEF;1 CZK;1 DKK;1 EEK;1 FIM;1 FRF;100 GRD;100 ESP;1 NLG;1 IEP;100 JPY;1 CAD;100 LUF;1 NOK;100 PTE;1 DEM;1 CHF;1 SEK;100 HUF;1 GBP;100 ITL;1 XDR;NR TAB
30.12.1999;4,1483;4,1689;2,7110;0,3030;10,3344;0,1153;0,5601;0,2673;0,7012;0,6355;1,2627;2,5056;1,8918;5,2934;4,0637;2,8598;10,3344;0,5166;2,0794;2,1315;2,5954;0,4879;1,6374;6,7062;0,2153;5,6845;254/A/NBP/1999
3.01.2000;4,1171;4,1650;2,7073;0,3027;10,3248;0,1157;0,5598;0,2673;0,7005;0,6350;1,2630;2,5032;1,8900;5,2885;4,0429;2,8501;10,3248;0,5155;2,0775;2,1295;2,5964;0,4862;1,6362;6,6576;0,2151;5,6839;1/A/NBP/2000
4.01.2000;4,1267;4,2232;2,7191;0,3069;10,4690;0,1169;0,5675;0,2699;0,7103;0,6438;1,2792;2,5382;1,9164;5,3624;4,0164;2,8546;10,4690;0,5196;2,1065;2,1593;2,6340;0,4915;1,6595;6,7571;0,2181;5,7597;2/A/NBP/2000
5.01.2000;4,1299;4,2797;2,7188;0,3110;10,6091;0,1177;0,5749;0,2699;0,7198;0,6524;1,2939;2,5722;1,9420;5,4341;4,0031;2,8461;10,6091;0,5208;2,1347;2,1882;2,6687;0,4952;1,6814;6,7760;0,2210;5,7393;3/A/NBP/2000
6.01.2000;4,1129;4,2553;2,6974;0,3092;10,5486;0,1174;0,5717;0,2699;0,7157;0,6487;1,2856;2,5575;1,9310;5,4031;3,9366;2,8278;10,5486;0,5186;2,1225;2,1757;2,6522;0,4924;1,6710;6,7620;0,2198;5,6718;4/A/NBP/2000
7.01.2000;4,0898;4,2112;2,6752;0,3060;10,4393;0,1166;0,5658;0,2699;0,7083;0,6420;1,2734;2,5310;1,9110;5,3471;3,8903;2,8005;10,4393;0,5145;2,1005;2,1532;2,6201;0,4881;1,6548;6,7336;0,2175;5,5959;5/A/NBP/2000
10.01.2000;4,0620;4,1682;2,6695;0,3029;10,3327;0,1159;0,5599;0,2699;0,7010;0,6354;1,2607;2,5051;1,8914;5,2925;3,8928;2,7978;10,3327;0,5085;2,0791;2,1312;2,5902;0,4822;1,6365;6,6537;0,2153;5,5742;6/A/NBP/2000
11.01.2000;4,0457;4,1647;2,6453;0,3027;10,3240;0,1158;0,5594;0,2699;0,7005;0,6349;1,2590;2,5030;1,8899;5,2881;3,8266;2,7779;10,3240;0,5061;2,0773;2,1294;2,5885;0,4813;1,6350;6,6428;0,2151;5,5929;7/A/NBP/2000
12.01.2000;4,0718;4,2077;2,6802;0,3058;10,4306;0,1169;0,5651;0,2699;0,7077;0,6415;1,2712;2,5289;1,9094;5,3427;3,8479;2,7963;10,4306;0,5110;2,0988;2,1514;2,6129;0,4851;1,6516;6,7092;0,2173;5,6356;8/A/NBP/2000
13.01.2000;4,0660;4,1886;2,6827;0,3044;10,3833;0,1162;0,5626;0,2699;0,7045;0,6385;1,2662;2,5174;1,9007;5,3184;3,8435;2,7978;10,3833;0,5118;2,0893;2,1416;2,6002;0,4838;1,6434;6,6884;0,2163;5,5862;9/A/NBP/2000
