;;W A L U T A  /  C U R R E N C Y;;;;;;;;;;;;;;;;;;;;;
18;25.01.1996;2,5365;1,7180;3,8467;2,1367;0,4999;1,8652;0,2444;8,3575;0,4439;0,5585;2,0364;1,5344;3,9895;2,3761;1,8457;8,3575;0,3918;1,6543;0,3667;0,1590;3,1486;3,6921
19;26.01.1996;2,5455;1,7120;3,8353;2,1204;0,4984;1,8807;0,2435;8,3215;0,4428;0,5558;2,0170;1,5284;3,9773;2,3909;1,8462;8,3215;0,3909;1,6449;0,3663;0,1586;3,1314;3,7112
20;29.01.1996;2,5510;1,7100;3,8332;2,1006;0,4975;1,8877;0,2433;8,3203;0,4420;0,5581;2,0161;1,5271;3,9748;2,3942;1,8495;8,3203;0,3904;1,6442;0,3629;0,1589;3,1232;3,7095
21;30.01.1996;2,5475;1,7140;3,8303;2,1038;0,4981;1,8904;0,2436;8,3280;0,4424;0,5586;2,0229;1,5287;3,9718;2,3772;1,8482;8,3280;0,3906;1,6475;0,3658;0,1593;3,1385;3,7011
22;31.01.1996;2,5520;1,7125;3,8480;2,1030;0,4988;1,9004;0,2438;8,3365;0,4429;0,5600;2,0326;1,5300;3,9869;2,3848;1,8443;8,3365;0,3916;1,6535;0,3676;0,1597;3,1432;3,7109
23;1.02.1996;2,5495;1,7140;3,8640;2,1056;0,4995;1,8989;0,2438;8,3425;0,4433;0,5607;2,0349;1,5314;3,9986;2,3844;1,8535;8,3425;0,3924;1,6542;0,3674;0,1612;3,1479;3,7008
24;2.02.1996;2,5505;1,7150;3,8761;2,0918;0,4986;1,9278;0,2437;8,3416;0,4430;0,5587;2,0358;1,5303;4,0014;2,3948;1,8569;8,3416;0,3924;1,6547;0,3661;0,1613;3,1511;3,7071
25;5.02.1996;2,5395;1,7230;3,8824;2,1057;0,5006;1,9154;0,2451;8,3762;0,4454;0,5600;2,0388;1,5388;4,0068;2,4120;1,8450;8,3762;0,3941;1,6596;0,3648;0,1614;3,1609;3,6960
26;6.02.1996;2,5345;1,7250;3,8962;2,1126;0,5015;1,9110;0,2453;8,3952;0,4457;0,5601;2,0451;1,5398;4,0205;2,4034;1,8427;8,3952;0,3946;1,6595;0,3624;0,1612;3,1579;3,7087
27;7.02.1996;2,5410;1,7220;3,9008;2,1026;0,5007;1,9190;0,2446;8,3627;0,4445;0,5573;2,0433;1,5349;4,0199;2,3927;1,8564;8,3627;0,3939;1,6562;0,3614;0,1611;3,1569;3,7274
28;8.02.1996;2,5460;1,7235;3,9103;2,1116;0,5017;1,9313;0,2449;8,3833;0,4448;0,5531;2,0455;1,5388;4,0202;2,3871;1,8638;8,3833;0,3950;1,6600;0,3620;0,1617;3,1647;3,7239
29;9.02.1996;2,5410;1,7270;3,9068;2,1113;0,5017;1,9196;0,2450;8,3972;0,4459;0,5531;2,0463;1,5418;4,0180;2,3814;1,8497;8,3972;0,3953;1,6605;0,3661;0,1623;3,1691;3,7079
30;12.02.1996;2,5460;1,7270;3,9001;2,1187;0,5027;1,9260;0,2456;8,4001;0,4463;0,5502;2,0529;1,5427;4,0088;2,3855;1,8560;8,4001;0,3952;1,6637;0,3657;0,1620;3,1750;3,7217
31;13.02.1996;2,5480;1,7260;3,9050;2,1154;0,5017;1,9198;0,2456;8,3919;0,4460;0,5544;2,0513;1,5411;4,0126;2,3842;1,8555;8,3919;0,3952;1,6615;0,3675;0,1623;3,1723;3,7219
32;14.02.1996;2,5425;1,7305;3,9115;2,1193;0,5018;1,9190;0,2460;8,4098;0,4471;0,5527;2,0542;1,5455;4,0185;2,3817;1,8471;8,4098;0,3958;1,6646;0,3646;0,1608;3,1750;3,7106
33;15.02.1996;2,5420;1,7330;3,9096;2,1270;0,5028;1,9207;0,2464;8,4250;0,4479;0,5537;2,0536;1,5478;4,0241;2,4031;1,8432;8,4250;0,3963;1,6658;0,3663;0,1599;3,1759;3,7175
34;16.02.1996;2,5405;1,7350;3,9151;2,1263;0,5033;1,9179;0,2463;8,4261;0,4483;0,5549;2,0575;1,5480;4,0287;2,4148;1,8405;8,4261;0,3969;1,6655;0,3673;0,1602;3,1804;3,7234
35;19.02.1996;2,5220;1,7475;3,9077;2,1510;0,5073;1,9027;0,2477;8,4887;0,4504;0,5572;2,0680;1,5604;4,0326;2,4170;1,8192;8,4887;0,3993;1,6774;0,3670;0,1596;3,1973;3,6985
36;20.02.1996;2,5295;1,7450;3,9096;2,1433;0,5059;1,9124;0,2477;8,4740;0,4507;0,5563;2,0651;1,5572;4,0259;2,3942;1,8273;8,4740;0,3985;1,6716;0,3662;0,1594;3,1983;3,7095
37;21.02.1996;2,5450;1,7505;3,9190;2,1450;0,5072;1,9117;0,2492;8,5039;0,4529;0,5633;2,0756;1,5623;4,0346;2,4102;1,8449;8,5039;0,4000;1,6768;0,3758;0,1616;3,2154;3,7448
38;22.02.1996;2,5570;1,7610;3,9429;2,1613;0,5117;1,9247;0,2499;8,5604;0,4553;0,5670;2,0902;1,5724;4,0600;2,4363;1,8584;8,5604;0,4029;1,6919;0,3786;0,1628;3,2298;3,7620
39;23.02.1996;2,5505;1,7530;3,9244;2,1583;0,5100;1,9281;0,2490;8,5132;0,4529;0,5642;2,0803;1,5641;4,0394;2,4255;1,8530;8,5132;0,4011;1,6854;0,3775;0,1625;3,2167;3,7552
40;26.02.1996;2,5385;1,7555;3,9108;2,1623;0,5107;1,9298;0,2495;8,5325;0,4539;0,5642;2,0823;1,5671;4,0345;2,4355;1,8418;8,5325;0,4017;1,6870;0,3768;0,1628;3,2202;3,7336
41;27.02.1996;2,5440;1,7530;3,9187;2,1539;0,5100;1,9311;0,2492;8,5226;0,4534;0,5646;2,0809;1,5650;4,0368;2,4497;1,8521;8,5226;0,4015;1,6848;0,3800;0,1637;3,2321;3,7561
42;28.02.1996;2,5490;1,7495;3,9209;2,1483;0,5100;1,9360;0,2489;8,5118;0,4528;0,5662;2,0778;1,5623;4,0364;2,4419;1,8545;8,5118;0,4011;1,6845;0,3814;0,1649;3,2356;3,7624
43;29.02.1996;2,5615;1,7400;3,9179;2,1310;0,5078;1,9652;0,2480;8,4678;0,4504;0,5642;2,0681;1,5536;4,0237;2,4424;1,8668;8,4678;0,3998;1,6764;0,3793;0,1648;3,2216;3,7741
44;1.03.1996;2,5695;1,7370;3,9229;2,1281;0,5069;1,9579;0,2470;8,4495;0,4495;0,5631;2,0647;1,5514;4,0325;2,4299;1,8801;8,4495;0,3991;1,6736;0,3804;0,1645;3,2155;3,7737
45;4.03.1996;2,5665;1,7435;3,9261;2,1414;0,5079;1,9483;0,2477;8,4822;0,4513;0,5632;2,0550;1,5574;4,0417;2,4420;1,8704;8,4822;0,4004;1,6783;0,3785;0,1649;3,2251;3,7527
46;5.03.1996;2,5700;1,7375;3,9255;2,1354;0,5070;1,9495;0,2471;8,4470;0,4497;0,5603;2,0495;1,5517;4,0377;2,4463;1,8763;8,4470;0,3989;1,6736;0,3755;0,1658;3,2266;3,7645
47;6.03.1996;2,5695;1,7380;3,9277;2,1356;0,5080;1,9576;0,2473;8,4536;0,4500;0,5592;2,0575;1,5523;4,0407;2,4390;1,8713;8,4536;0,3994;1,6750;0,3753;0,1651;3,2268;3,7599
48;7.03.1996;2,5770;1,7365;3,9332;2,1391;0,5074;1,9694;0,2469;8,4510;0,4494;0,5595;2,0620;1,5520;4,0417;2,4450;1,8776;8,4510;0,3992;1,6745;0,3781;0,1648;3,2213;3,7703
49;8.03.1996;2,5715;1,7390;3,9302;2,1376;0,5073;1,9722;0,2469;8,4557;0,4500;0,5591;2,0663;1,5527;4,0375;2,4347;1,8762;8,4557;0,3996;1,6757;0,3782;0,1645;3,2224;3,7562
50;11.03.1996;2,5760;1,7385;3,9244;2,1468;0,5075;1,9770;0,2471;8,4591;0,4500;0,5593;2,0668;1,5540;4,0364;2,4497;1,8844;8,4591;0,3998;1,6779;0,3760;0,1646;3,2188;3,7672
51;12.03.1996;2,5780;1,7385;3,9191;2,1448;0,5072;1,9855;0,2469;8,4479;0,4497;0,5598;2,0664;1,5514;4,0313;2,4367;1,8896;8,4479;0,3995;1,6811;0,3780;0,1650;3,2169;3,7674
52;13.03.1996;2,5685;1,7460;3,9136;2,1633;0,5095;1,9886;0,2480;8,4896;0,4516;0,5607;2,0755;1,5597;4,0353;2,4388;1,8780;8,4896;0,4010;1,6892;0,3791;0,1644;3,2272;3,7480
53;14.03.1996;2,5705;1,7465;3,9208;2,1670;0,5101;1,9916;0,2483;8,5054;0,4524;0,5590;2,0805;1,5616;4,0448;2,4422;1,8794;8,5054;0,4012;1,6917;0,3791;0,1638;3,2309;3,7635
54;15.03.1996;2,5730;1,7460;3,9270;2,1638;0,5097;1,9912;0,2481;8,4948;0,4519;0,5567;2,0748;1,5602;4,0526;2,4360;1,8792;8,4948;0,4009;1,6861;0,3800;0,1643;3,2300;3,7683
55;18.03.1996;2,5730;1,7460;3,9330;2,1671;0,5099;1,9896;0,2482;8,4965;0,4520;0,5587;2,0733;1,5602;4,0616;2,4285;1,8883;8,4965;0,4011;1,6885;0,3830;0,1644;3,2344;3,7655
56;19.03.1996;2,5780;1,7435;3,9449;2,1589;0,5098;1,9944;0,2478;8,4737;0,4513;0,5567;2,0722;1,5567;4,0662;2,4241;1,8984;8,4737;0,4006;1,6858;0,3835;0,1651;3,2290;3,7729
57;20.03.1996;2,5750;1,7470;3,9609;2,1611;0,5106;1,9989;0,2480;8,4983;0,4522;0,5623;2,0775;1,5599;4,0750;2,4219;1,8941;8,4983;0,4020;1,6897;0,3899;0,1654;3,2370;3,7624
58;21.03.1996;2,5790;1,7455;3,9628;2,1567;0,5092;2,0050;0,2484;8,4947;0,4518;0,5596;2,0757;1,5595;4,0697;2,4163;1,8995;8,4947;0,4016;1,6882;0,3879;0,1657;3,2339;3,7743
59;22.03.1996;2,5820;1,7460;3,9626;2,1581;0,5085;2,0056;0,2481;8,4895;0,4520;0,5606;2,0769;1,5587;4,0796;2,4142;1,8956;8,4895;0,4011;1,6881;0,3897;0,1647;3,2352;3,7726
60;25.03.1996;2,5800;1,7490;3,9305;2,1653;0,5102;1,9998;0,2486;8,5050;0,4526;0,5606;2,0801;1,5615;4,0541;2,4283;1,8976;8,5050;0,4019;1,6916;0,3897;0,1652;3,2400;3,7648
61;26.03.1996;2,5760;1,7455;3,9274;2,1629;0,5096;1,9913;0,2481;8,4920;0,4519;0,5599;2,0764;1,5594;4,0497;2,4284;1,8899;8,4920;0,4012;1,6889;0,3884;0,1642;3,2378;3,7655
62;27.03.1996;2,5810;1,7390;3,9243;2,1544;0,5090;2,0022;0,2474;8,4544;0,4499;0,5552;2,0677;1,5523;4,0417;2,4193;1,8960;8,4544;0,3995;1,6842;0,3873;0,1632;3,2263;3,7723
63;28.03.1996;2,5875;1,7510;3,9396;2,1673;0,5126;2,0204;0,2488;8,5161;0,4532;0,5579;2,0801;1,5639;4,0607;2,4311;1,8974;8,5161;0,4027;1,6936;0,3883;0,1644;3,2502;3,7724
64;29.03.1996;2,5875;1,7535;3,9480;2,1738;0,5143;2,0226;0,2493;8,5314;0,4542;0,5586;2,0855;1,5669;4,0729;2,4307;1,8987;8,5314;0,4037;1,6967;0,3889;0,1650;3,2506;3,7724
65;1.04.1996;2,5875;1,7465;3,9450;2,1662;0,5124;2,0285;0,2483;8,5049;0,4526;0,5594;2,0782;1,5613;4,0716;2,4065;1,9078;8,5049;0,4027;1,6923;0,3886;0,1649;3,2409;3,7807
66;2.04.1996;2,5820;1,7435;3,9396;2,1639;0,5113;2,0211;0,2479;8,4831;0,4517;0,5578;2,0726;1,5581;4,0591;2,4073;1,9047;8,4831;0,4021;1,6895;0,3879;0,1648;3,2388;3,7655
67;3.04.1996;2,5870;1,7470;3,9502;2,1716;0,5124;2,0194;0,2486;8,5055;0,4527;0,5586;2,0892;1,5634;4,0721;2,4200;1,9071;8,5055;0,4033;1,6966;0,3900;0,1656;3,2529;3,7722
68;4.04.1996;2,5940;1,7520;3,9579;2,1658;0,5135;2,0294;0,2490;8,5221;0,4532;0,5595;2,0913;1,5665;4,0831;2,4232;1,9109;8,5221;0,4040;1,6993;0,3894;0,1661;3,2584;3,7835
69;5.04.1996;2,5940;1,7530;3,9712;2,1733;0,5146;2,0307;0,2492;8,5315;0,4541;0,5600;2,0979;1,5689;4,0934;2,4175;1,9114;8,5315;0,4050;1,7020;0,3911;0,1662;3,2592;3,7847
70;9.04.1996;2,6040;1,7460;3,9695;2,1637;0,5132;2,0480;0,2482;8,5059;0,4539;0,5588;2,0927;1,5648;4,0937;2,4061;1,9218;8,5059;0,4037;1,6987;0,3887;0,1661;3,2570;3,8004
71;10.04.1996;2,6135;1,7430;3,9689;2,1510;0,5128;2,0619;0,2478;8,4883;0,4518;0,5587;2,0851;1,5606;4,0938;2,4106;1,9237;8,4883;0,4034;1,6953;0,3897;0,1663;3,2559;3,8026
72;11.04.1996;2,6180;1,7440;3,9619;2,1477;0,5130;2,0656;0,2478;8,4844;0,4515;0,5573;2,0829;1,5592;4,0932;2,4063;1,9312;8,4844;0,4031;1,6964;0,3902;0,1667;3,2582;3,7959
73;12.04.1996;2,6200;1,7450;3,9667;2,1439;0,5134;2,0690;0,2482;8,4956;0,4520;0,5567;2,0862;1,5605;4,0944;2,4130;1,9324;8,4956;0,4037;1,6972;0,3907;0,1669;3,2595;3,7889
74;15.04.1996;2,6270;1,7385;3,9611;2,1335;0,5126;2,0783;0,2473;8,4668;0,4505;0,5548;2,0845;1,5562;4,0862;2,4212;1,9379;8,4668;0,4031;1,6958;0,3896;0,1671;3,2581;3,8034
75;16.04.1996;2,6235;1,7400;3,9594;2,1369;0,5124;2,0667;0,2474;8,4748;0,4507;0,5534;2,0866;1,5565;4,0915;2,4239;1,9319;8,4748;0,4032;1,6939;0,3892;0,1666;3,2533;3,7906
76;17.04.1996;2,6260;1,7425;3,9602;2,1393;0,5126;2,0624;0,2477;8,4812;0,4515;0,5546;2,0882;1,5586;4,0980;2,4259;1,9336;8,4812;0,4038;1,6973;0,3889;0,1668;3,2609;3,7970
77;18.04.1996;2,6300;1,7410;3,9686;2,1400;0,5135;2,0663;0,2478;8,4840;0,4512;0,5537;2,0901;1,5579;4,1094;2,4403;1,9398;8,4840;0,4039;1,6970;0,3898;0,1673;3,2606;3,8011
78;19.04.1996;2,6250;1,7500;3,9881;2,1569;0,5151;2,0533;0,2488;8,5117;0,4534;0,5554;2,0922;1,5633;4,1215;2,4560;1,9252;8,5117;0,4054;1,7028;0,3921;0,1677;3,2755;3,7999
79;22.04.1996;2,6355;1,7380;3,9877;2,1460;0,5131;2,0729;0,2471;8,4552;0,4503;0,5520;2,0903;1,5527;4,1173;2,4709;1,9347;8,4552;0,4038;1,6938;0,3935;0,1694;3,2601;3,8290
80;23.04.1996;2,6375;1,7355;3,9896;2,1448;0,5132;2,0817;0,2468;8,4481;0,4498;0,5485;2,0879;1,5514;4,1217;2,4741;1,9369;8,4481;0,4035;1,6938;0,3925;0,1700;3,2618;3,8202
81;24.04.1996;2,6415;1,7355;3,9962;2,1416;0,5139;2,0742;0,2468;8,4474;0,4500;0,5479;2,0881;1,5501;4,1248;2,4727;1,9457;8,4474;0,4039;1,6959;0,3916;0,1697;3,2655;3,8216
82;25.04.1996;2,6500;1,7340;4,0054;2,1444;0,5137;2,0843;0,2466;8,4422;0,4502;0,5485;2,0915;1,5496;4,1329;2,4813;1,9424;8,4422;0,4040;1,6955;0,3908;0,1700;3,2627;3,8334
83;26.04.1996;2,6555;1,7325;4,0023;2,1453;0,5135;2,1004;0,2463;8,4308;0,4493;0,5472;2,0909;1,5475;4,1344;2,4975;1,9517;8,4308;0,4035;1,6944;0,3902;0,1696;3,2603;3,8347
84;29.04.1996;2,6485;1,7440;4,0062;2,1555;0,5162;2,0830;0,2477;8,4840;0,4520;0,5503;2,1017;1,5577;4,1422;2,5346;1,9420;8,4840;0,4058;1,7023;0,3933;0,1696;3,2787;3,8251
85;30.04.1996;2,6580;1,7380;4,0078;2,1474;0,5148;2,0932;0,2471;8,4578;0,4510;0,5488;2,0933;1,5536;4,1473;2,5455;1,9521;8,4578;0,4048;1,6962;0,3924;0,1700;3,2682;3,8388
86;6.05.1996;2,6540;1,7395;4,0042;2,1357;0,5147;2,1127;0,2473;8,4652;0,4512;0,5516;2,0853;1,5588;4,1456;2,5285;1,9425;8,4652;0,4049;1,6918;0,3882;0,1702;3,2673;3,8464
87;7.05.1996;2,6530;1,7395;4,0063;2,1345;0,5149;2,1180;0,2474;8,4645;0,4510;0,5511;2,0903;1,5572;4,1479;2,5273;1,9420;8,4645;0,4044;1,6943;0,3885;0,1703;3,2689;3,8455
88;8.05.1996;2,6515;1,7395;4,0120;2,1374;0,5147;2,1266;0,2476;8,4722;0,4513;0,5549;2,0923;1,5577;4,1566;2,5121;1,9436;8,4722;0,4046;1,6969;0,3882;0,1698;3,2714;3,8439
89;9.05.1996;2,6445;1,7440;4,0300;2,1408;0,5145;2,1094;0,2478;8,4841;0,4515;0,5583;2,0811;1,5602;4,1626;2,5265;1,9367;8,4841;0,4051;1,6936;0,3890;0,1694;3,2664;3,8332
90;10.05.1996;2,6490;1,7465;4,0492;2,1441;0,5151;2,1284;0,2480;8,4972;0,4525;0,5639;2,0880;1,5630;4,1736;2,5277;1,9368;8,4972;0,4065;1,6963;0,3927;0,1703;3,2777;3,8503
91;13.05.1996;2,6615;1,7360;4,0405;2,1280;0,5135;2,1256;0,2469;8,4457;0,4495;0,5591;2,0836;1,5535;4,1612;2,5331;1,9382;8,4457;0,4043;1,6893;0,3915;0,1705;3,2660;3,8713
92;14.05.1996;2,6630;1,7345;4,0391;2,1299;0,5128;2,1324;0,2469;8,4459;0,4497;0,5602;2,0814;1,5529;4,1622;2,5290;1,9509;8,4459;0,4046;1,6895;0,3939;0,1714;3,2667;3,8735
93;15.05.1996;2,6660;1,7370;4,0369;2,1296;0,5133;2,1314;0,2470;8,4542;0,4503;0,5624;2,0809;1,5543;4,1617;2,4996;1,9488;8,4542;0,4050;1,6927;0,3947;0,1713;3,2692;3,8565
94;16.05.1996;2,6685;1,7385;4,0377;2,1182;0,5136;2,1399;0,2470;8,4548;0,4502;0,5636;2,0798;1,5546;4,1643;2,4881;1,9505;8,4548;0,4052;1,6903;0,3951;0,1716;3,2690;3,8568
95;17.05.1996;2,6680;1,7430;4,0363;2,1223;0,5140;2,1365;0,2476;8,4732;0,4514;0,5650;2,0845;1,5577;4,1648;2,4993;1,9453;8,4732;0,4057;1,6941;0,3952;0,1718;3,2772;3,8488
96;20.05.1996;2,6715;1,7390;4,0404;2,1164;0,5140;2,1312;0,2473;8,4593;0,4507;0,5661;2,0860;1,5562;4,1684;2,4916;1,9467;8,4593;0,4055;1,6927;0,3954;0,1721;3,2763;3,8589
97;21.05.1996;2,6720;1,7345;4,0411;2,1098;0,5123;2,1220;0,2465;8,4343;0,4491;0,5662;2,0825;1,5514;4,1626;2,4964;1,9475;8,4343;0,4044;1,6882;0,3937;0,1716;3,2669;3,8501
98;22.05.1996;2,6880;1,7445;4,0604;2,1185;0,5148;2,1320;0,2477;8,4854;0,4515;0,5659;2,0941;1,5586;4,1850;2,5106;1,9580;8,4854;0,4067;1,6991;0,3943;0,1722;3,2869;3,8738
99;23.05.1996;2,6930;1,7430;4,0667;2,1245;0,5153;2,1327;0,2479;8,4876;0,4517;0,5660;2,0929;1,5586;4,1973;2,5228;1,9647;8,4876;0,4072;1,6991;0,3938;0,1723;3,2950;3,8776
100;24.05.1996;2,6935;1,7455;4,0749;2,1276;0,5157;2,1321;0,2480;8,4897;0,4520;0,5655;2,0955;1,5607;4,2033;2,5003;1,9582;8,4897;0,4078;1,7023;0,3946;0,1725;3,2992;3,8778
101;27.05.1996;2,6950;1,7480;4,0790;2,1304;0,5164;2,1335;0,2484;8,4996;0,4526;0,5661;2,0973;1,5620;4,2083;2,5023;1,9621;8,4996;0,4083;1,7025;0,3944;0,1729;3,3039;3,8783
102;28.05.1996;2,7050;1,7490;4,0867;2,1266;0,5169;2,1478;0,2485;8,5058;0,4527;0,5676;2,1009;1,5629;4,2114;2,4896;1,9683;8,5058;0,4088;1,7044;0,3964;0,1736;3,3085;3,8926
103;29.05.1996;2,7140;1,7535;4,1196;2,1321;0,5185;2,1677;0,2496;8,5371;0,4543;0,5700;2,1029;1,5686;4,2294;2,4940;1,9720;8,5371;0,4107;1,7069;0,3978;0,1744;3,3199;3,8933
104;30.05.1996;2,7075;1,7710;4,1571;2,1586;0,5230;2,1572;0,2519;8,6171;0,4586;0,5735;2,0988;1,5828;4,2698;2,5321;1,9718;8,6171;0,4142;1,7184;0,3999;0,1748;3,3397;3,8845
105;31.05.1996;2,6910;1,7540;4,1451;2,1372;0,5190;2,1494;0,2493;8,5347;0,4544;0,5686;2,0881;1,5680;4,2505;2,4848;1,9617;8,5347;0,4105;1,7048;0,3985;0,1738;3,3144;3,8921
106;3.06.1996;2,6940;1,7660;4,1671;2,1607;0,5215;2,1626;0,2513;8,5960;0,4576;0,5733;2,0997;1,5783;4,2674;2,4973;1,9689;8,5960;0,4132;1,7143;0,4012;0,1746;3,3404;3,8852
107;4.06.1996;2,7010;1,7675;4,1915;2,1522;0,5218;2,1580;0,2512;8,5959;0,4577;0,5735;2,0927;1,5774;4,2866;2,4838;1,9723;8,5959;0,4135;1,7117;0,4038;0,1750;3,3436;3,9071
108;5.06.1996;2,7065;1,7660;4,1799;2,1509;0,5214;2,1499;0,2510;8,5847;0,4573;0,5771;2,0864;1,5777;4,2804;2,4906;1,9763;8,5847;0,4132;1,7121;0,4022;0,1750;3,3447;3,9066
109;7.06.1996;2,7040;1,7700;4,1858;2,1469;0,5220;2,1301;0,2516;8,6046;0,4584;0,5760;2,0934;1,5810;4,2859;2,4862;1,9812;8,6046;0,4140;1,7152;0,4021;0,1748;3,3432;3,9008
110;10.06.1996;2,7115;1,7650;4,1600;2,1377;0,5209;2,1530;0,2507;8,5791;0,4571;0,5753;2,0907;1,5767;4,2681;2,4812;1,9897;8,5791;0,4128;1,7113;0,4012;0,1748;3,3356;3,9144
111;11.06.1996;2,7110;1,7680;4,1695;2,1448;0,5215;2,1494;0,2514;8,5957;0,4581;0,5763;2,0940;1,5792;4,2808;2,4768;1,9865;8,5957;0,4136;1,7131;0,4021;0,1747;3,3432;3,9007
112;12.06.1996;2,7230;1,7710;4,1847;2,1521;0,5228;2,1565;0,2520;8,6163;0,4594;0,5803;2,1012;1,5829;4,2929;2,4909;1,9931;8,6163;0,4149;1,7187;0,4058;0,1758;3,3555;3,9180
113;13.06.1996;2,7370;1,7840;4,1946;2,1657;0,5256;2,1698;0,2535;8,6693;0,4624;0,5822;2,1113;1,5926;4,3136;2,5057;2,0000;8,6693;0,4170;1,7311;0,4071;0,1765;3,3740;3,9359
114;14.06.1996;2,7325;1,7970;4,2019;2,1904;0,5292;2,1546;0,2552;8,7323;0,4655;0,5850;2,1236;1,6037;4,3229;2,5272;1,9938;8,7323;0,4191;1,7432;0,4087;0,1764;3,3927;3,9328
115;17.06.1996;2,7105;1,7860;4,1893;2,1710;0,5263;2,1452;0,2540;8,6847;0,4630;0,5817;2,1116;1,5954;4,3099;2,4901;1,9851;8,6847;0,4160;1,7342;0,4054;0,1756;3,3746;3,9180
