;;W A L U T A  /  C U R R E N C Y;;;;;;;;;;;;;;;;;;;;;
Nr / No.;Data / date;1 USD;1 DEM;1 GBP;1 CHF;1 FRF;1 AUD;1 ATS;100 BEF;1 DKK;1 FIM;100 ESP;1 NLG;1 IEP;100 JPY;1 CAD;100 LUF;1 NOK;100 PTE;1 SEK;100 ITL;1 XEU;1 XDR
1;2.01.1996;2,4700;1,7255;3,8354;2,1491;0,5052;1,8338;0,2453;8,3985;0,4458;0,5710;2,0419;1,5412;3,9621;2,3818;1,8147;8,3985;0,3913;1,6581;0,3744;0,1577;3,1720;3,6718
2;3.01.1996;2,4755;1,7215;3,8410;2,1368;0,5039;1,8490;0,2446;8,3688;0,4445;0,5712;2,0410;1,5365;3,9633;2,3701;1,8277;8,3688;0,3905;1,6536;0,3752;0,1576;3,1705;3,6734
3;4.01.1996;2,4870;1,7165;3,8546;2,1262;0,5023;1,8557;0,2437;8,3512;0,4433;0,5694;2,0393;1,5317;3,9665;2,3456;1,8396;8,3512;0,3894;1,6520;0,3756;0,1576;3,1694;3,6850
4;5.01.1996;2,4865;1,7225;3,8532;2,1371;0,5036;1,8510;0,2452;8,3934;0,4459;0,5715;2,0460;1,5403;3,9739;2,3697;1,8293;8,3934;0,3912;1,6579;0,3766;0,1573;3,1899;3,6658
5;8.01.1996;2,4830;1,7255;3,8502;2,1372;0,5030;1,8512;0,2454;8,3857;0,4461;0,5696;2,0523;1,5415;3,9715;2,3547;1,8256;8,3857;0,3913;1,6608;0,3751;0,1572;3,1936;3,6628
6;9.01.1996;2,4875;1,7225;3,8536;2,1297;0,5028;1,8501;0,2447;8,3761;0,4453;0,5693;2,0485;1,5369;3,9743;2,3645;1,8249;8,3761;0,3913;1,6593;0,3761;0,1579;3,2002;3,6694
7;10.01.1996;2,4865;1,7280;3,8443;2,1398;0,5044;1,8494;0,2457;8,3964;0,4470;0,5713;2,0544;1,5429;3,9689;2,3757;1,8250;8,3964;0,3929;1,6665;0,3781;0,1582;3,2125;3,6679
8;11.01.1996;2,4850;1,7315;3,8355;2,1487;0,5041;1,8554;0,2463;8,4223;0,4476;0,5717;2,0575;1,5457;3,9684;2,3751;1,8192;8,4223;0,3934;1,6676;0,3784;0,1585;3,2139;3,6657
9;12.01.1996;2,4960;1,7270;3,8554;2,1434;0,5041;1,8584;0,2456;8,4012;0,4467;0,5712;2,0560;1,5418;3,9821;2,3685;1,8329;8,4012;0,3933;1,6647;0,3780;0,1584;3,1984;3,6945
10;15.01.1996;2,4960;1,7270;3,8596;2,1453;0,5044;1,8544;0,2455;8,4012;0,4468;0,5710;2,0545;1,5418;3,9910;2,3782;1,8299;8,4012;0,3938;1,6670;0,3794;0,1587;3,1943;3,6945
11;16.01.1996;2,5060;1,7185;3,8649;2,1369;0,5032;1,8668;0,2445;8,3715;0,4449;0,5681;2,0424;1,5353;3,9974;2,3678;1,8363;8,3715;0,3923;1,6621;0,3782;0,1586;3,1794;3,7093
12;17.01.1996;2,5125;1,7175;3,8512;2,1292;0,5018;1,8624;0,2442;8,3555;0,4442;0,5664;2,0394;1,5330;3,9856;2,3804;1,8346;8,3555;0,3917;1,6602;0,3773;0,1588;3,1727;3,6938
13;18.01.1996;2,5210;1,7150;3,8412;2,1233;0,5021;1,8670;0,2439;8,3504;0,4435;0,5641;2,0357;1,5317;3,9782;2,3964;1,8462;8,3504;0,3915;1,6592;0,3765;0,1598;3,1735;3,7030
14;19.01.1996;2,5290;1,7130;3,8301;2,1243;0,5015;1,8630;0,2437;8,3410;0,4431;0,5647;2,0317;1,5306;3,9720;2,4006;1,8551;8,3410;0,3912;1,6553;0,3775;0,1597;3,1636;3,7077
15;22.01.1996;2,5360;1,7125;3,8372;2,1270;0,5014;1,8565;0,2436;8,3216;0,4425;0,5613;2,0322;1,5296;3,9793;2,3936;1,8537;8,3216;0,3910;1,6561;0,3726;0,1594;3,1597;3,7076
16;23.01.1996;2,5280;1,7155;3,8286;2,1333;0,5006;1,8545;0,2439;8,3419;0,4432;0,5588;2,0335;1,5315;3,9717;2,3935;1,8431;8,3419;0,3911;1,6555;0,3689;0,1582;3,1549;3,6878
17;24.01.1996;2,5395;1,7085;3,8303;2,1249;0,4989;1,8704;0,2429;8,3099;0,4417;0,5576;2,0284;1,5257;3,9717;2,3771;1,8560;8,3099;0,3904;1,6488;0,3694;0,1596;3,1426;3,7143
