data;THB;USD;AUD;HKD;CAD;NZD;SGD;EUR;HUF;CHF;GBP;UAH;JPY;CZK;DKK;EEK;ISK;NOK;SKK;SEK;HRK;RON;BGN;TRY;LTL;LVL;PHP;MXN;ZAR;BRL;MYR;RUB;IDR;KRW;CNY;XDR;NR TAB;;z dnia
;bat (Tajlandia);dolar amerykański;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Węgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duńska;korona estońska;korona islandzka;korona norweska;korona słowacka;korona szwedzka;kuna chorwacka;lej rumuński;lew bułgarski;lira turecka;lit litewski;łat łotewski;peso filipińskie;peso meksykańskie;rand (RPA);real brazylijski;ringgit malezyjski;rubel rosyjski;rupia (Indonezja);won (Korea Płd.);yuan renminbi(Chiny);SDR (MFW);;;
20.11.2008;0,0879;3,0845;1,9362;0,3982;2,4571;1,6620;2,0190;3,8620;1,4179;2,5442;4,5818;0,4995;3,2333;0,1502;0,5182;0,2468;2,1944;0,4337;0,1270;0,3762;0,5431;1,0051;1,9746;1,8125;1,1185;5,4456;0,0618;0,2314;0,2906;1,2932;0,8517;0,1119;2,5661;0,2060;0,4516;4,5116;227;/A/NBP/2008;20.11.2008
21.11.2008;0,0860;3,0151;1,8862;0,3888;2,3586;1,6070;1,9660;3,7984;1,4258;2,4711;4,5117;0,4766;3,1602;0,1479;0,5097;0,2428;2,1415;0,4263;0,1250;0,3688;0,5327;1,0051;1,9421;1,8014;1,1001;5,3566;0,0605;0,2259;0,2883;1,2579;0,8320;0,1096;2,4601;0,2016;0,4411;4,4580;228;/A/NBP/2008;21.11.2008
24.11.2008;0,0873;3,0762;1,9343;0,3963;2,4217;1,6388;2,0048;3,8824;1,4637;2,5193;4,5913;0,4875;3,2218;0,1518;0,5209;0,2481;2,1904;0,4303;0,1277;0,3714;0,5451;1,0221;1,9850;1,9013;1,1244;5,4736;0,0616;0,2234;0,2967;1,2402;0,8464;0,1109;2,5145;0,2032;0,4501;4,5499;229;/A/NBP/2008;24.11.2008
25.11.2008;0,0864;2,9891;1,9041;0,3853;2,3995;1,6053;1,9711;3,8411;1,4725;2,4837;4,5176;0,4492;3,1136;0,1510;0,5154;0,2455;2,1296;0,4245;0,1267;0,3705;0,5384;1,0102;1,9639;1,8937;1,1124;5,4169;0,0604;0,2287;0,2965;1,2897;0,8250;0,1090;2,4878;0,1989;0,4377;4,4510;230;/A/NBP/2008;25.11.2008
26.11.2008;0,0852;2,9197;1,8934;0,3763;2,3889;1,6041;1,9324;3,7888;1,4544;2,4474;4,4947;0,4226;3,0652;0,1503;0,5083;0,2422;2,1049;0,4167;0,1249;0,3674;0,5298;0,9943;1,9372;1,8503;1,0973;5,3416;0,0594;0,2203;0,2952;1,2595;0,8057;0,1068;2,4539;0,1974;0,4274;4,3980;231;/A/NBP/2008;26.11.2008
27.11.2008;0,0823;2,9047;1,9101;0,3747;2,3683;1,6062;1,9247;3,7578;1,4377;2,4257;4,4891;0,4120;3,0469;0,1492;0,5043;0,2402;2,0683;0,4179;0,1239;0,3639;0,5270;0,9777;1,9213;1,8489;1,0883;5,2964;0,0596;0,2164;0,2950;1,3152;0,8027;0,1060;2,4338;0,1967;0,4253;4,3406;232;/A/NBP/2008;27.11.2008
28.11.2008;0,0817;2,9196;1,9212;0,3768;2,3665;1,6136;1,9349;3,7572;1,4487;2,4273;4,4943;0,4142;3,0651;0,1489;0,5042;0,2401;2,0577;0,4225;0,1240;0,3634;0,5266;0,9917;1,9210;1,8655;1,0881;5,2956;0,0597;0,2212;0,2934;1,2717;0,8058;0,1053;2,4334;0,1988;0,4276;4,3399;233;/A/NBP/2008;28.11.2008
1.12.2008;0,0849;3,0338;1,9476;0,3916;2,4389;1,6275;1,9900;3,8432;1,4682;2,5090;4,5927;0,4408;3,2297;0,1503;0,5159;0,2456;2,1051;0,4321;0,1268;0,3712;0,5392;1,0088;1,9650;1,9047;1,1130;5,4191;0,0623;0,2271;0,2962;1,3173;0,8362;0,1086;2,4891;0,2107;0,4408;4,4393;234;/A/NBP/2008;1.12.2008
2.12.2008;0,0851;3,0394;1,9475;0,3917;2,4355;1,6120;1,9860;3,8340;1,4697;2,5172;4,5085;0,4134;3,2634;0,1494;0,5147;0,2450;2,0402;0,4256;0,1266;0,3633;0,5340;1,0071;1,9603;1,8887;1,1104;5,4053;0,0613;0,2204;0,2924;1,2941;0,8340;0,1085;2,4799;0,2073;0,4412;4,5109;235;/A/NBP/2008;2.12.2008
3.12.2008;0,0854;3,0468;1,9535;0,3930;2,4249;1,6063;1,9895;3,8457;1,4706;2,5139;4,4684;0,4145;3,2746;0,1500;0,5162;0,2458;2,0727;0,4269;0,1272;0,3664;0,5354;1,0015;1,9663;1,9233;1,1138;5,4211;0,0620;0,2290;0,2935;1,2647;0,8370;0,1088;2,4495;0,2073;0,4428;4,4870;236;/A/NBP/2008;3.12.2008
4.12.2008;0,0861;3,0805;1,9858;0,3974;2,4403;1,6481;2,0169;3,8824;1,4883;2,5316;4,4795;0,4162;3,3186;0,1505;0,5212;0,2481;2,1038;0,4284;0,1286;0,3688;0,5400;1,0094;1,9850;1,9603;1,1244;5,4728;0,0624;0,2312;0,3018;1,2297;0,8461;0,1099;2,5458;0,2084;0,4475;4,5551;237;/A/NBP/2008;4.12.2008
5.12.2008;0,0862;3,0476;1,9692;0,3931;2,3911;1,6220;2,0029;3,8881;1,4832;2,5359;4,4740;0,4119;3,3125;0,1513;0,5219;0,2485;2,3737;0,4254;0,1288;0,3683;0,5427;1,0102;1,9879;1,9470;1,1261;5,4816;0,0616;0,2315;0,2979;1,2163;0,8379;0,1085;2,5396;0,2066;0,4433;4,5581;238;/A/NBP/2008;5.12.2008
8.12.2008;0,0844;3,0035;1,9943;0,3872;2,3950;1,6319;1,9884;3,8686;1,4690;2,4793;4,4900;0,4085;3,2170;0,1510;0,5193;0,2473;2,6199;0,4246;0,1282;0,3682;0,5382;1,0046;1,9780;1,9189;1,1204;5,4533;0,0618;0,2236;0,2942;1,2320;0,8251;0,1073;2,6175;0,2073;0,4364;4,5334;239;/A/NBP/2008;8.12.2008
9.12.2008;0,0864;3,0548;1,9967;0,3944;2,4288;1,6474;2,0279;3,9323;1,4931;2,5234;4,5137;0,4158;3,3039;0,1526;0,5279;0,2513;2,7348;0,4303;0,1303;0,3744;0,5470;1,0118;2,0105;1,9247;1,1389;5,5447;0,0632;0,2341;0,3000;1,2168;0,8453;0,1091;2,6606;0,2123;0,4447;4,5617;240;/A/NBP/2008;9.12.2008
10.12.2008;0,0870;3,0610;2,0131;0,3950;2,4254;1,6664;2,0372;3,9589;1,5067;2,5388;4,5232;0,4165;3,3072;0,1530;0,5314;0,2530;2,6721;0,4326;0,1312;0,3741;0,5506;1,0201;2,0241;1,9526;1,1466;5,5814;0,0634;0,2288;0,2990;1,2344;0,8468;0,1097;2,8117;0,2196;0,4459;4,5952;241;/A/NBP/2008;10.12.2008
11.12.2008;0,0861;3,0257;1,9999;0,3899;2,4132;1,6611;2,0246;3,9703;1,5072;2,5383;4,5166;0,4117;3,2872;0,1530;0,5329;0,2538;2,6143;0,4324;0,1316;0,3745;0,5527;1,0183;2,0300;1,9489;1,1498;5,5983;0,0633;0,2256;0,2972;1,2381;0,8486;0,1083;2,7921;0,2225;0,4411;4,5904;242;/A/NBP/2008;11.12.2008
12.12.2008;0,0851;2,9709;1,9513;0,3835;2,3837;1,6234;1,9951;3,9689;1,5037;2,5229;4,4387;0,3882;3,2859;0,1531;0,5328;0,2537;2,5436;0,4310;0,1316;0,3731;0,5526;1,0147;2,0293;1,9072;1,1495;5,5963;0,0618;0,2230;0,2923;1,2553;0,8294;0,1072;2,7156;0,2167;0,4341;4,5279;243;/A/NBP/2008;12.12.2008
15.12.2008;0,0847;2,9561;1,9651;0,3814;2,3905;1,6350;1,9983;3,9804;1,4976;2,5225;4,4303;0,3639;3,2590;0,1523;0,5343;0,2544;2,5399;0,4293;0,1319;0,3711;0,5546;1,0074;2,0352;1,8851;1,1528;5,6101;0,0621;0,2187;0,2896;1,2317;0,8298;0,1062;2,7235;0,2168;0,4316;4,5264;244;/A/NBP/2008;15.12.2008
16.12.2008;0,0850;2,9683;1,9875;0,3826;2,4006;1,6576;2,0072;4,0489;1,5070;2,5640;4,5184;0,3654;3,2832;0,1537;0,5434;0,2587;2,5870;0,4276;0,1342;0,3694;0,5618;1,0245;2,0702;1,8915;1,1727;5,7115;0,0626;0,2222;0,2907;1,2440;0,8336;0,1072;2,6550;0,2197;0,4332;4,5623;245;/A/NBP/2008;16.12.2008
17.12.2008;0,0839;2,8948;2,0096;0,3739;2,3950;1,6864;1,9847;4,0834;1,5301;2,5978;4,4924;0,3566;3,2779;0,1547;0,5481;0,2610;2,5796;0,4282;0,1353;0,3711;0,5671;1,0382;2,0878;1,8735;1,1826;5,7634;0,0618;0,2226;0,2907;1,2559;0,8206;0,1052;2,6671;0,2187;0,4239;4,5764;246;/A/NBP/2008;17.12.2008
18.12.2008;0,0858;2,8463;2,0262;0,3685;2,4019;1,7211;1,9912;4,1740;1,5658;2,7256;4,4155;0,3009;3,2313;0,1576;0,5603;0,2668;2,5413;0,4274;0,1382;0,3739;0,5793;1,0503;2,1341;1,8658;1,2089;5,8913;0,0612;0,2150;0,2916;1,2080;0,8265;0,1041;2,7263;0,2215;0,4179;4,6238;247;/A/NBP/2008;18.12.2008
19.12.2008;0,0846;2,9130;2,0035;0,3765;2,3788;1,6970;2,0143;4,1132;1,5537;2,6672;4,3898;0,3426;3,2915;0,1557;0,5521;0,2629;2,4148;0,4184;0,1360;0,3745;0,5680;1,0409;2,1030;1,9224;1,1912;5,8088;0,0622;0,2211;0,2997;1,2027;0,8407;0,1048;2,6190;0,2262;0,4263;4,4446;248;/A/NBP/2008;19.12.2008
22.12.2008;0,0845;2,9081;1,9945;0,3750;2,3995;1,6795;2,0102;4,1037;1,5452;2,6693;4,3334;0,3568;3,2416;0,1546;0,5507;0,2623;2,4045;0,4154;0,1360;0,3751;0,5666;1,0454;2,0982;1,9096;1,1885;5,7986;0,0615;0,2206;0,3013;1,2346;0,8345;0,1030;2,6804;0,2222;0,4242;4,5483;249;/A/NBP/2008;22.12.2008
23.12.2008;0,0850;2,9476;2,0129;0,3807;2,4092;1,6821;2,0361;4,1176;1,5622;2,7018;4,3646;0,3652;3,2722;0,1567;0,5523;0,2632;2,3833;0,4198;0,1364;0,3756;0,5678;1,0486;2,1053;1,9282;1,1926;5,8331;0,0623;0,2237;0,3036;1,2330;0,8501;0,1038;2,6497;0,2206;0,4308;4,5493;250;/A/NBP/2008;23.12.2008
24.12.2008;0,0848;2,9313;1,9981;0,3783;2,4077;1,6837;2,0328;4,1025;1,5495;2,7175;4,3300;0,3643;3,2468;0,1551;0,5506;0,2622;2,3252;0,4094;0,1358;0,3647;0,5613;1,0352;2,0976;1,9342;1,1881;5,8101;0,0618;0,2199;0,3030;1,2300;0,8427;0,1024;2,6248;0,2244;0,4289;4,5294;251;/A/NBP/2008;24.12.2008
29.12.2008;0,0857;2,9293;2,0342;0,3782;2,4101;1,7100;2,0347;4,1848;1,5683;2,7853;4,3056;0,3834;3,2396;0,1573;0,5616;0,2675;2,3270;0,4203;0,1386;0,3790;0,5703;1,0490;2,1397;1,9365;1,2120;5,9275;0,0617;0,2184;0,3057;1,2334;0,8421;0,1004;2,6774;0,2317;0,4281;4,6124;252;/A/NBP/2008;29.12.2008
30.12.2008;0,0845;2,9072;2,0145;0,3753;2,3655;1,6858;2,0149;4,1244;1,5543;2,7618;4,2211;0,3647;3,2258;0,1555;0,5535;0,2636;2,3979;0,4166;0,1368;0,3770;0,5623;1,0285;2,1088;1,9201;1,1945;5,8262;0,0613;0,2115;0,3080;1,2184;0,8361;0,0991;2,6354;0,2309;0,4257;4,4991;253;/A/NBP/2008;30.12.2008
31.12.2008;0,0853;2,9618;2,0495;0,3820;2,4307;1,7160;2,0613;4,1724;1,5757;2,8014;4,2913;0,3730;3,2812;0,1566;0,5599;0,2667;2,4387;0,4238;0,1385;0,3821;0,5664;1,0409;2,1333;1,9407;1,2084;5,8907;0,0624;0,2145;0,3158;1,2702;0,8576;0,1008;2,6661;0,2351;0,4344;4,5808;254;/A/NBP/2008;31.12.2008
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1 THB;1 USD;1 AUD;1 HKD;1 CAD;1 NZD;1 SGD;1 EUR;100 HUF;1 CHF;1 GBP;1 UAH;100 JPY;1 CZK;1 DKK;1 EEK;100 ISK;1 NOK;1 SKK;1 SEK;1 HRK;1 RON;1 BGN;1 TRY;1 LTL;1 LVL;1 PHP;1 MXN;1 ZAR;1 BRL;1 MYR;1 RUB;10000 IDR;100 KRW;1 CNY;1 XDR;;Nr tabeli;
;bat (Tajlandia);dolar amerykański;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Węgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duńska;korona estońska;korona islandzka;korona norweska;korona słowacka;korona szwedzka;kuna chorwacka;lej rumuński;lew bułgarski;lira turecka;lit litewski;łat łotewski;peso filipińskie;peso meksykańskie;rand (RPA);real brazylijski;ringgit malezyjski;rubel rosyjski;rupia (Indonezja);won (Korea Płd.);yuan renminbi(Chiny);SDR (MFW);;;
