#year;interest rate (source: https://www.obligacjeskarbowe.pl/tabela-odsetkowa/?table_id=3538, 2020.04.26)
2005;7.00
2006;4.00
2007;4.40
2008;6.60
2009;6.70
2010;6.30
2011;5.70
2012;7.80
2013;5.80
2014;3.60
